android/support/v7: {android/support/v7, bbb34eb1bbcaf8affa3b03867348d4ca}
org/junit/experimental: {org/junit/experimental, 542dd9699021b2a489ba6c7d8f6e4a23}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
afu/org/checkerframework: {afu/org/checkerframework, 8b3fabc92cbd98e2eef1f0be176f66f8}
afu/plume: {afu/plume, 8cbe71795ec0b65234adc1ccf9312240}
org/bouncycastle/jcajce: {org/bouncycastle/jcajce, d5558efa18aef8bdeabd262e3ee59f6b}
com/rd: {com/rd, e86cf33df7dd498d42c9eee2d7de398a}
butterknife: {butterknife, ab27a869821c70e15e8810168010da01}
io/fabric/sdk: {io/fabric/sdk, a1d69b60736065cf9f19fa83439f5833}
com/shobhitpuri/custombuttons: {com/shobhitpuri/custombuttons, f6bd2d571d3a3a4c9d8495cb49260780}
kotlin/a/a: {kotlin/a/a, 940044e08d523cb1e1a94279073cafa1}
android/support/percent: {android/support/percent, 2e58ee11269fba2e0c91bb12f4500f3d}
com/d/a: {com/d/a, 9def86e96fe21f0d9c2c8a3a0e0ac4e5}
kotlin: {kotlin, bba8bfd66060157082518f47f9ad3bb0}
com/karumi/rosie: {com/karumi/rosie, cba9c3fad492ab7cfbd5ed27753a6de8}
pl/bclogic/pulsator4droid: {pl/bclogic/pulsator4droid, 5dec9ab21b8ab747f6e8dd285886c7a4}
android/support/a: {android/support/a, 04eb03a4073a46a7c777b8b1cdd1fa4e}
org/b: {org/b, acf7ef943fdeb3cbfed8dd0d8f584731}
com/appeaser/imagetransitionlibrary: {com/appeaser/imagetransitionlibrary, 46ae57300d8dc670cc97d6ddd97783b0}
com/wang/avi: {com/wang/avi, ba99026926e67f6e55d629b0d0fc2dd9}
android/support/b: {android/support/b, 54903be5860bbb96b83d6f3d451d354b}
okhttp3: {okhttp3, 726cfe14259d06203f07386aef427c18}
org/bouncycastle/i18n: {org/bouncycastle/i18n, d5558efa18aef8bdeabd262e3ee59f6b}
android/arch/a: {android/arch/a, 671e47d51bf7566f52be396b157f0763}
org/bouncycastle/jce: {org/bouncycastle/jce, ce5c60f178cdfe42765baf1f7995b6d5}
com/pkmmte/view: {com/pkmmte/view, 9275926bb077cbc524c32e7551edf0ac}
android/support/f: {android/support/f, db3223fc2350fc41478e68d52b642d9d}
android/support/d: {android/support/d, 75b22d91504d6812eb1b1fe3eea26254}
com/google/zxing: {com/google/zxing, 2cbc77eefdfb393de0117322d78c5d84}
uk/co/chrisjenx: {uk/co/chrisjenx, 81248d5dd7d6a3f8580c3f38073e707c}
com/facebook: {com/facebook, de3f2efa8c8d09b90d3e0fad0f13db82}
dagger/internal: {dagger/internal, 61ef3281ef7617ebff1f76125ccf7c76}
com/c/a: {com/c/a, 53d011946c560314114470a250b9e88b}
org/checkerframework/checker: {org/checkerframework/checker, 4c836a723d50f352605ae04d92d09d9a}
bolts: {bolts, 6b4536a1efc166730f1f65feb4a1b4ab}
dagger: {dagger, e6b8d2f1c14b325b623f849d7547803c}
b: {b, 7e3eaec02d97031034427f7f0d3b718e}
org/junit/internal: {org/junit/internal, cda21b610618de5ecdb5e4641a6d262d}
butterknife/a: {butterknife/a, 383ab71eb0af185948539e106460b935}
