kotlin/collections: {kotlin/collections, 441218e7aa874b16ba6786fff510d108}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/text: {kotlin/text, 69d7f5cd50bf19a8e6fe835888582c03}
kotlin/io: {kotlin/io, d7b56dc91403dead449556b05c979762}
kotlin/internal: {kotlin/internal, 27959764e53d44a2e1ff17bbb4bac6e4}
kotlin/ranges: {kotlin/ranges, dd81dfab765c27ba5cf3241ca1260622}
kotlin/sequences: {kotlin/sequences, 5c9748953857c88223e7d583b5e67f5e}
kotlinx/serialization: {kotlinx/serialization, c61f7c794888aca677f67445d2ebc028}
kotlin/comparisons: {kotlin/comparisons, 6839ce50b25edcf0eb43344c1137f45c}
kotlin: {kotlin, 1379bfe04fff057ba3ceb18b64479d48}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, 6e7b0f7accd8570e6ab200268afa9ef6}
kotlin/jvm: {kotlin/jvm, 001f6cdc296f1c5a4ce5fbe14373b75a}
org/fcitx/fcitx5: {org/fcitx/fcitx5, 8272901d328372a24586ec75689b93a5}
