androidx/appcompat: {androidx/appcompat, 2bf1e76f31353a5cf4fcb68b9fef34d4}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
dagger/lint: {dagger/lint, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlin/internal: {kotlin/internal, df2031c6f8ee72a9cd703f1d3cb17969}
androidx/activity: {androidx/activity, 575a2409483de20a4fad0991c54213a7}
kotlin/sequences: {kotlin/sequences, 1132ac1f52a1cb6518a468743e64d197}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, e1ef9585227a573269c7b880c4330f84}
androidx/preference: {androidx/preference, 7f7cfa48f1126258edae4d08976df717}
androidx/vectordrawable: {androidx/vectordrawable, 08bcc41ef37effa295966890d5f0bd6b}
org/monora/uprotocol: {org/monora/uprotocol, 4c0e8b39c1e6f6ec4daf044240125c73}
kotlin/math: {kotlin/math, 603d70413aeba34eac618d7d763b8009}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 94dfcb666279bdd85bfaac51a4dd963c}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 266810ba6c468b15f5699549f61380bf}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 012fbf8d79f626cdea8aa397949a1a11}
kotlin/random: {kotlin/random, be06b0d8887c7ad17ca69285902bf058}
javax/annotation: {javax/annotation, c4e8d7026c1dadaa234254b09ba07263}
dagger: {dagger, 8621a4fbfbead7100812597e4ce51205}
junit/extensions: {junit/extensions, 29f95a2043c02d19da1a24bd6af7c801}
org/jetbrains/annotations: {org/jetbrains/annotations, 546a7fe246bd671530aeaa7fc2d0339f}
junit/textui: {junit/textui, 5edecf158f8087b4abd423088419f132}
androidx/savedstate: {androidx/savedstate, 8a8898fabd619eda1b1bef1c680f17ac}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, cfc1ab360adafa9d5f30247fc7152e9b}
kotlinx/coroutines: {kotlinx/coroutines, 1c20a102c3c4f2a4c795e80cfc0d62fe}
androidx/annotation: {androidx/annotation, b470f029a9bf7713689ba7283fa8e794}
io/noties/markwon: {io/noties/markwon, 5c2d363aa122ccd1f95f5603d523495a}
androidx/databinding: {androidx/databinding, 9285a2d7cb5cff0031c30b780c1e69ca}
androidx/room: {androidx/room, 32120d9538beb786adc19f77c1b3c5c9}
androidx/sqlite/db: {androidx/sqlite/db, 68efa6772dff081abfbb29d56b231154}
dagger/assisted: {dagger/assisted, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/lifecycle: {androidx/lifecycle, f8955cdcd10f56a70921a189a2a30dc9}
androidx/navigation: {androidx/navigation, 2debb4be25aa728dbb1d2bf37f208fde}
kotlin/reflect: {kotlin/reflect, e1b82201635ec8747c30dd80be43dc19}
kotlin/text: {kotlin/text, f3cb7037b783a15d12f4bb2c29a0067e}
androidx/viewbinding: {androidx/viewbinding, 897736dda5796857485753f22d69e171}
androidx/versionedparcelable: {androidx/versionedparcelable, 75d2286be9300ddcd35ab4a20812d1ce}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
androidx/core: {androidx/core, bd71a7867b036e0abdf46d4d5468ef9d}
androidx/collection: {androidx/collection, d71b05a6ebedfd14e3f7e6f6f5716864}
androidx/transition: {androidx/transition, a6102ec1f0e6bed16679e30dccb5670a}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/multidex: {androidx/multidex, 903f2bd691859506bb806c968dd4e463}
com/google/android: {com/google/android, ea445eae23660cd464c406925421b4fe}
junit/framework: {junit/framework, e45c1dccb56ffb78a6f54d3a93cfdab3}
kotlin/jdk7: {kotlin/jdk7, b6d7522126e7bebe2607a343d967bb6c}
org/apache/httpcore: {org/apache/httpcore, 299e0b23e6d004f4eddc68123d48a392}
androidx/viewpager2: {androidx/viewpager2, 6ca1f2154b2c0c58462600f402cceb1e}
androidx/documentfile: {androidx/documentfile, 9ac8d69c6cfce1a1dda4fe359af7e028}
androidx/recyclerview: {androidx/recyclerview, d3fdb60d5d43d4ad3262b134f8ef6bab}
kotlin/comparisons: {kotlin/comparisons, 66f7703dec50ab1fb145df851df815e5}
androidx/dynamicanimation: {androidx/dynamicanimation, 047e7e5665f7a5933aeddeba5a9fa38d}
kotlin/jvm: {kotlin/jvm, 9a5e3b9145a0aaa577e11d7fabe29e21}
kotlin/io: {kotlin/io, 211b8d6c5ba3d1c7289264f7a7e3c68e}
androidx/loader: {androidx/loader, f6bb39db62e193d8eb21badab0aad5ae}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
hilt_aggregated_deps: {hilt_aggregated_deps, df2a11129c2a6c3b7123d6705ad35a9f}
androidx/coordinatorlayout: {androidx/coordinatorlayout, d30524b2fa6d0f2efb0a8a4bbd70001e}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 8e02d43c1790e0f68c06a49f2db73d97}
com/genonbeta/TrebleShot: {com/genonbeta/TrebleShot, 82e9d20f5eb51324da952eddf166a905}
com/google/zxing: {com/google/zxing, 6d9d7a1a76cbbedbf1bc1023297f4455}
dagger/internal: {dagger/internal, 19dab90a9ad42cdd14ad5d278e3b2473}
androidx/drawerlayout: {androidx/drawerlayout, 6b14bc737854edd87f4885706f23fb5d}
com/github/kevinsawicki: {com/github/kevinsawicki, 75cec735442f15978bcdb54817a31e9f}
androidx/viewpager: {androidx/viewpager, 51de1431ad8b17b0c07ba28472ba7197}
androidx/exifinterface: {androidx/exifinterface, 27981db4ecc2c254f666881a41d17e09}
kotlinx/android/extensions: {kotlinx/android/extensions, 39e7fa8342d8a0a13a4b676b8c90cc42}
androidx/arch/core: {androidx/arch/core, 2e982212001071c30a7dfee7fd7329a6}
kotlin/properties: {kotlin/properties, 2e510b50a91e3b0d6c8fd91aa32cf1a6}
kotlin/system: {kotlin/system, df2009cf378fcc5b9c10e4c3622086b6}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
org/json: {org/json, acf7ef943fdeb3cbfed8dd0d8f584731}
junit/runner: {junit/runner, 4cc162dc59b9b54835b74a72f3e8f4b9}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
kotlin/collections: {kotlin/collections, b24680111f598d953a0ddfdfb276ba52}
androidx/fragment: {androidx/fragment, 5e22caeea552556ca1c8b56ce8850841}
kotlin/contracts: {kotlin/contracts, 9fd3b4e8fa5f4d904edc67b3ae889ff5}
kotlin: {kotlin, 0c539114609bd6417f7a19c2f7b77c50}
org/junit: {org/junit, 37d1dff886cab957c3d481a39d23b586}
kotlin/coroutines: {kotlin/coroutines, 771e0f49e3f66303574c4ad6540f3622}
kotlin/concurrent: {kotlin/concurrent, 42be1e0006526faee615dbc4e5d8f5ba}
dagger/hilt: {dagger/hilt, 5ccd0fba38ecbb276d50f2d4558acc0f}
com/genonbeta/android: {com/genonbeta/android, 9ba2a22d0adf5cfac2b206e316c9cb0c}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
kotlin/time: {kotlin/time, a08755e699e8728c717eff387078659a}
com/yanzhenjie/andserver: {com/yanzhenjie/andserver, b2e0d552382c818b92db8e7eaa1b9d0e}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
com/bumptech/glide: {com/bumptech/glide, 91adb9b7f8969748d2f71cfc77ef32ef}
kotlin/ranges: {kotlin/ranges, 2dccfecef05cb7815479f199a95502d4}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
