androidx/appcompat: {androidx/appcompat, 068e07674872b11eab01a81091d9ad68}
kotlin/collections: {kotlin/collections, 696d4d37fce3db0046a3dba6f98acaca}
org/bouncycastle/pqc: {[org/bouncycastle/pqc, org/bouncycastle/crypto, org/bouncycastle/util, org/bouncycastle/math, org/bouncycastle/asn1, ], 69103df78c30b0b57ee4e9522db4b16a}
kotlin: {kotlin, ac2cd83eec77cea7445405526fdcd69e}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
com/android/mms: {[com/android/i18n, com/android/mms, ], 819366bcbac31ab1758a9844c4538569}
kotlin/internal: {kotlin/internal, 18b441ff712de5c8cc044d3910b7b316}
com/klinker/android: {com/klinker/android, 3ff58492edfc5c9b197b98eee541c6e7}
androidx/activity: {androidx/activity, c9e2d698e5683ff3ce1d166c25578ad6}
androidx/profileinstaller: {androidx/profileinstaller, 830feace874dc78c84b7c3042977a69f}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 41dddb2ba798986951c4795ac3712614}
androidx/compose/foundation: {androidx/compose/foundation, 0da4b6adbc4627c6510b130033dbfd02}
androidx/preference: {androidx/preference, b1977704b17bc7d0917323a6134149f8}
androidx/customview/widget: {androidx/customview/widget, d73162adef225dc84ab5533aeed0ced8}
com/gitlab/mvysny: {com/gitlab/mvysny, 68872acec203eb1a18f53ea02da8dad0}
androidx/compose/material3: {androidx/compose/material3, b8aac6b2467e70caddd3cd9edd83d9b6}
androidx/lifecycle: {androidx/lifecycle, bce28c31fea2ed5931663c1c0b48884b}
androidx/fragment: {androidx/fragment, 981bbe378cf3f75a5ea5b608c6ff5025}
androidx/emoji2/text: {androidx/emoji2/text, 21aa22910c1f9d14c3d994ef4c166030}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
org/atteo/classindex: {org/atteo/classindex, 96e59205c22eee8ea0fc2f7ecd8a136a}
androidx/loader/app: {androidx/loader/app, 88db4f356622a85023515694938dfcc8}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
android/net: {android/net, 25f57c6c2dd10f3b03234b0f7a72aea0}
com/univocity/parsers: {com/univocity/parsers, a1c1c65c570ff1f2c2b28d9a2fa6a1c6}
kotlin/reflect: {kotlin/reflect, 38032452c3f33127dd15c97a925682af}
kotlin/coroutines: {kotlin/coroutines, ba79cfb13e68bd3a328a6b6445af750a}
kotlin/math: {kotlin/math, 07048987b023ca50d34bd716320388dd}
kotlin/text: {kotlin/text, eaa7c37c5df02e7668bf84802f89fc4f}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
androidx/versionedparcelable: {androidx/versionedparcelable, d8ade7b5a530c3b722bd5128232424c2}
androidx/compose/animation: {androidx/compose/animation, b24058afd8212f2f71094b98548c7e67}
org/apache/sshd: {[org/apache/sshd, org/apache/mina, ], 75315ad701d9b5a6f51be282c7210ab2}
androidx/compose/runtime: {androidx/compose/runtime, e845d9e8cce9ab8acbbde04c5b9738d8}
androidx/core: {androidx/core, cac07a8071b6a3bcd450a94c1ff7a2b2}
org/bouncycastle/jce: {[org/bouncycastle/asn1, org/bouncycastle/math, org/bouncycastle/jce, ], 759b21da68f0d40df979da9a9024d578}
androidx/collection: {androidx/collection, 8bad6f08c664bebfe1393d00c7fa35cc}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 00e5645c39b2eac0e5f034808fdbd6e5}
androidx/transition: {androidx/transition, a7ef1b52617223db4184d9727dad99e8}
kotlin/random: {kotlin/random, c099bbdede865a2d6cb1854ec14706e3}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
org/bouncycastle/pkcs: {[org/bouncycastle/asn1, org/bouncycastle/math, org/bouncycastle/pkcs, ], 78cfbe1bf06769dee2add8d1c7b94f6a}
com/jakewharton/disklrucache: {com/jakewharton/disklrucache, cc301a305603e096826664c4013e7368}
