androidx/appcompat: {androidx/appcompat, c4ba349af496dea7a8ad7a11a2d09a0e}
kotlin/collections: {kotlin/collections, 1c2938f743c842141803da2c05d41578}
androidx/tracing: {androidx/tracing, 6319096a516910dd16850bff041e1fab}
kotlin: {kotlin, 8cef001005bb16d99d1e2b15c7970657}
kotlin/io: {kotlin/io, 74ddc389e011745468508fd1201f15ec}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
androidx/room: {androidx/room, cc2c12dff71bd9bcff34497e808e21dc}
com/google/errorprone: {com/google/errorprone, 89af1c131d79367df63edd811898f6e8}
androidx/activity: {androidx/activity, cfdb576f77bbb9fa395e10c6abecac1c}
androidx/profileinstaller: {androidx/profileinstaller, f6bb0ae3d0d5e6925112dd0dcd7c04aa}
kotlin/annotation: {kotlin/annotation, f3950e884821c38027c428fc214a8a08}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 65e7bccacc9368b24cb944e382ed91a6}
androidx/preference: {androidx/preference, 0b1172e6b47d29ca429fec41eaaf244e}
androidx/sqlite/db: {androidx/sqlite/db, 71ccfb92246e991ab6d156b63cad2307}
dagger/assisted: {dagger/assisted, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/concurrent/futures: {androidx/concurrent/futures, 3c772953e3b56a6236452c70b314a7e2}
androidx/lifecycle: {androidx/lifecycle, 63ba03e4e8fc4007e4c766aa0803a1b3}
androidx/fragment: {androidx/fragment, 0cc858b30451cd1bb9c23b90bb98c3bb}
org/junit: {org/junit, 458f3bd465dacd3fa23c5654ab444553}
kotlin/enums: {kotlin/enums, 21621550778ec3e6c2f36981a361ca68}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/vectordrawable: {androidx/vectordrawable, 6c5dff0792f06742382116354b9a0707}
androidx/recyclerview: {androidx/recyclerview, e8b391635fc3b0e49233d7bcd3d2dad7}
com/google/android: {com/google/android, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
dagger/hilt: {dagger/hilt, 703da0b8e19e757d7ab52d6b18bc8278}
