androidx/appcompat: {androidx/appcompat, 8f54b30167be552aaef8ca5dfca58098}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
kotlin/internal: {kotlin/internal, 436fa75d385694cd84a8b11884216d72}
androidx/activity: {androidx/activity, a694c77500ff79e6c9a78f36d7da3922}
kotlin/sequences: {kotlin/sequences, a244dd6760ae1d313497059a5e1e5276}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
com/github/mikephil: {com/github/mikephil, 36fe569cc1df2a45eb1a2af47ca1e1b8}
androidx/vectordrawable: {androidx/vectordrawable, 467ffef8ce9a8d1ccaef5eb715537f8c}
kotlin/math: {kotlin/math, 2e3e6efe11fd02235ccbc627b2fb617b}
androidx/constraintlayout/core: {androidx/constraintlayout/core, dc5a759bc7dd9447d9f428f6ba565d59}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 73c2cb47460e3502028996884afe048f}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 7aec3174d9c2a6aad1b558884578cad7}
kotlin/random: {kotlin/random, 2d55ac56299d0044fb1294555fb43089}
kotlin/streams/jdk8: {kotlin/streams/jdk8, cfc6903569ed97112fde3772985cb7b4}
dagger: {dagger, a32940f23e327656863e515a45705855}
privacyfriendlyshoppinglist/secuso/org: {privacyfriendlyshoppinglist/secuso/org, 71d1bfa258e7c745897956e2811a86cc}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
androidx/emoji2: {androidx/emoji2, c3e9f55a4fc71bfee700170bec786eea}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, 3b083eb9dc2d2c39c439fc3878d004e4}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, eda7b69e433f21f1775d6175dcdb8a2f}
kotlinx/coroutines: {kotlinx/coroutines, 4912bb3e26991f3390f4cb55e62812e8}
androidx/startup: {androidx/startup, 53d0e3d6f93384a3e10a3ad1f634fc94}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/room: {androidx/room, 28ab69d88712304eee82452a63e07683}
androidx/sqlite/db: {androidx/sqlite/db, 5289335c5353089f4851b35a1d8c11be}
androidx/lifecycle: {androidx/lifecycle, fd534469cf8b9e68501e924b5b7cf2c0}
kotlin/reflect: {kotlin/reflect, f1302bcf0a65c8ff5eab221c5132a37f}
kotlin/text: {kotlin/text, 9de86319285928e50eac715e137ff70c}
androidx/versionedparcelable: {androidx/versionedparcelable, 8f35a69caa7c8771cf3096494e80f2b1}
org/intellij/lang: {org/intellij/lang, 08fcc9fe620b2a07273a23f0194df8ee}
androidx/core: {androidx/core, 197c73acde5e4e42121b74aeb104d52c}
androidx/collection: {androidx/collection, 8280dd3aca9f90aebf9be2c4b32a6ec3}
androidx/transition: {androidx/transition, a23990ea5b96e4302963f19b3fb8c33b}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/multidex: {androidx/multidex, 7a68c34f61e41ff8624bb49764f1953c}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 9d6920bd7efdac108bf58630d34d9f53}
com/google/android: {com/google/android, 2db2231b38c44b24649b44397614ffff}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
androidx/viewpager2: {androidx/viewpager2, e2ef8ce83f267e7c6d623499c509fe1a}
androidx/documentfile: {androidx/documentfile, 40d9ee9b6be100fdd435620e6bd88193}
androidx/recyclerview: {androidx/recyclerview, 0b4fd5ea758a0c695bed54934ef557a4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
org/secuso/privacyfriendlybackup: {org/secuso/privacyfriendlybackup, ccb95f61071a8684aa89bc711fb7f758}
androidx/dynamicanimation: {androidx/dynamicanimation, 1f9a5d45e51b6a7477a6151da88f6e7b}
kotlin/jvm: {kotlin/jvm, 8c0664844188034c1c124381ff68d5fc}
org/joda/time: {org/joda/time, 035b0206cbd556e26b52037ad1b837c1}
kotlin/io: {kotlin/io, c171440938a938b1b553fe9012b9ba46}
androidx/loader: {androidx/loader, fde4ed2a5810b8d4f79983b9b01647b8}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 647ac94efd6effb15b0f18fbb4eea173}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 3af32e239c2835ac2bd0c7386fe79949}
dagger/internal: {dagger/internal, f0aee96a8b46bc024a2416a30a13331c}
androidx/slidingpanelayout: {androidx/slidingpanelayout, e426a15115aacceef132ef0dcda9641a}
androidx/drawerlayout: {androidx/drawerlayout, 6b14bc737854edd87f4885706f23fb5d}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
kotlinx/android/extensions: {kotlinx/android/extensions, 39e7fa8342d8a0a13a4b676b8c90cc42}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
kotlin/properties: {kotlin/properties, fad51e28e802ed85818896060e4bded4}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
androidx/concurrent/futures: {androidx/concurrent/futures, 545abb1aed1b0f5be5c504018e2271be}
kotlin/comparisons: {kotlin/comparisons, 64c0abc699b80f2b75c9a4422a3c7cf1}
kotlin/collections: {kotlin/collections, 7299355a79d01646f76c938752c67e83}
androidx/fragment: {androidx/fragment, 398bf31ff8d9dc635ce28d9b7435be4d}
kotlin/contracts: {kotlin/contracts, 713173a8325aa1bfa39464429d6f3e25}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
kotlin: {kotlin, 546c3f8d17a1b6a4665c61a6a372b908}
com/davemorrissey/labs: {com/davemorrissey/labs, ee71472dfb323637a18cce6e4461d5ce}
kotlin/coroutines: {kotlin/coroutines, a4b5945a604ccb962e4a9be9ac8ff408}
kotlin/concurrent: {kotlin/concurrent, 609d0ba14373122c18d5182f18c0c69a}
com/j256/ormlite: {com/j256/ormlite, 237f4d46168d60deec3936628218186f}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/work: {androidx/work, 7d39840a7ce30fda7204a52213b0fee3}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
kotlin/time: {kotlin/time, bf48cb1f2f04885cc5abac77b15a8b78}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
kotlin/ranges: {kotlin/ranges, d06da3f0b935bf5cf71ea40b3b69f759}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlinx/android/parcel: {kotlinx/android/parcel, 13f0cfdf13e7cfed1d652dbc45ca907c}
androidx/customview: {androidx/customview, ee90bbac21b5d0cead2d93cc52a21fea}
