retrofit/mime: {retrofit/mime, 6bc0a75e2a5edba606a5b8bd45a4a2f1}
com/google/api: {com/google/api, f0c8ab71e92b4a522b12665e02feee94}
retrofit/converter: {retrofit/converter, 210913d95377e9b023f8e1a5c758676c}
android/support/fragment: {android/support/fragment, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/annotation: {android/support/annotation, 9fe16518d18f3e909e89cce18ab3333f}
android/support/coreui: {android/support/coreui, 542dd9699021b2a489ba6c7d8f6e4a23}
com/airstem/airflow: {com/airstem/airflow, 58012b1391bd085dccfdee59050b30d1}
retrofit/appengine: {retrofit/appengine, 95ecc8566a606cf83f26f6894363a664}
retrofit: {retrofit, 5b8d9508e8eb3dd82804931698c4d1a9}
retrofit/android: {retrofit/android, f32835a91fc30464378ed59b8193b62d}
javax/annotation: {javax/annotation, d0235602ffb83204f31178d82cc1c0d8}
retrofit/http: {retrofit/http, cf35deceb7f94a85b80c2986911d0fe3}
android/support/v7: {android/support/v7, 48ad751ac3ef0c878bb86f057135d210}
android/support/compat: {android/support/compat, 542dd9699021b2a489ba6c7d8f6e4a23}
com/fasterxml/jackson: {com/fasterxml/jackson, 40f0a7301656f41c203b8387a87e3d85}
com/google/thirdparty: {com/google/thirdparty, 86fa68a9744e24889e8f449259472733}
android/support/coreutils: {android/support/coreutils, 542dd9699021b2a489ba6c7d8f6e4a23}
com/google/firebase: {[com/google/firebase, com/google/android, com/google/ads, ], bb319c5a2e535c05ad960ea9388b0bb8}
android/support/graphics: {android/support/graphics, 86043157e0e516214565b2e185b2a6b4}
com/google/common: {com/google/common, 5f8bfd857515a3224c9631dca7a93d89}
android/support/design: {android/support/design, 9b254476972baa1f682688d05dafeed8}
android/support/mediacompat: {android/support/mediacompat, 542dd9699021b2a489ba6c7d8f6e4a23}
com/google/gson: {com/google/gson, 3de4ff9c83e21e48fcf1f65b55d64953}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], ab3387a19a08ba0d5801c75fe5e55843}
retrofit/client: {retrofit/client, 15404cb570289a58aa0cfc642898276d}
com/astuetz: {com/astuetz, 9ed25e3002ed6bf9eab979ad59c05dde}
