androidx/appcompat: {androidx/appcompat, 785571824d2ff06f8f823b74ed5c40ba}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
rx/internal/operators: {rx/internal/operators, 74f63d165e01b11fa19bb68ef0e5989e}
androidx/percentlayout: {androidx/percentlayout, 2f229091e54f8db33005cf4ead7f3d54}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/activity: {androidx/activity, 150283b11db97b1c8a8230f028c2d1a0}
androidx/core: {androidx/core, 92de5016b068b2e0807d281cda951ede}
androidx/datastore: {androidx/datastore, bfbe14cbf74c7f8f3d15fd3c65feb341}
androidx/preference: {androidx/preference, 8ff7286493bb5fd5ea4fb012fae22ba7}
androidx/lifecycle: {androidx/lifecycle, 6b14e636573462edadbfcb21e6a58ac5}
androidx/fragment: {androidx/fragment, 877f5288b88c40aaffdd5a457c7396fc}
com/github/mikephil: {com/github/mikephil, 682e49233035fe05e46eb96b23521525}
androidx/loader: {androidx/loader, 0bbed9d29534ae7ed9da619fb1999cfd}
androidx/vectordrawable: {androidx/vectordrawable, 561b694ae0fc2efc2b5c7c67e297d0a2}
androidx/customview: {androidx/customview, 8ca1d0d946656e3c0a6bc64c1af410f0}
androidx/viewpager: {androidx/viewpager, 057b981256a08f3ebacd09cb619aa355}
com/google/android: {[com/google/firebase, com/google/android, ], 44e73ac3ff330e2e98d705127b0421e0}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 14241b98a584e02bdec635d855695710}
com/daimajia/swipe: {com/daimajia/swipe, 3520716f6a800906fdca107fc73c246e}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 8f7578566ea17677557ec8bc96b4354b}
androidx/coordinatorlayout: {androidx/coordinatorlayout, ff439e0fa34daf18eff9de69b169edf7}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 1244295b4856538f2494f90305588303}
androidx/collection: {androidx/collection, c5d3d3cde2a8c2879107d2117cbf1a70}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, b75eaefdf6ccd9dcc7ae497434f570ef}
androidx/transition: {androidx/transition, 209fdbedd453597707018da0994c5aff}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, f94378f87942d596e8c1a9057b8e84e0}
com/bumptech/glide: {com/bumptech/glide, 3ddcdd7a7cee2ad8ed25f1bb74d4b82c}
androidx/slidingpanelayout: {androidx/slidingpanelayout, cdaf819284907b555b9a763b1c93a835}
androidx/multidex: {androidx/multidex, e8026cae43d461d30b8ed00451fe7915}
androidx/cardview: {androidx/cardview, cf6d834d150960a420289e5ad58bffde}
com/airbnb/lottie: {com/airbnb/lottie, 759099fe3134ff9e662bd617c8b06a66}
androidx/drawerlayout: {androidx/drawerlayout, 41cb65bafd9947dac7114bf5bef50297}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, d873f7e939034cfe73cfb2067d53c6e3}
androidx/exifinterface: {androidx/exifinterface, f45ffda1b18187d2c6ae21372620d1be}
rx/internal/producers: {rx/internal/producers, 2df6c9f3ac3c34bcd8c884d34ebe42f8}
androidx/browser: {androidx/browser, 305735bf4354a2cfb33ce12c85c44c9b}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, faf9af888479d1fecd6a8e1de9d6e209}
androidx/arch/core: {androidx/arch/core, d6513a5d145b8f14e506cc55bf22bfdb}
androidx/palette: {androidx/palette, dd3ac20072de965d07069fc6149b2046}
_COROUTINE: {_COROUTINE, cda218f6ca68fa7c07a4065e0df7787b}
androidx/viewpager2: {androidx/viewpager2, 4d5860576d10313d308d92a2f8dbb743}
androidx/legacy/content: {androidx/legacy/content, 6aaaf26997950d8416bb1ce1ae77d7aa}
androidx/savedstate: {androidx/savedstate, 40a7d58efeadc0c7ebd796d7213dac34}
androidx/documentfile: {androidx/documentfile, 32568abfd09a23174463f1a7e324dc33}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
com/eightbitlab/supportrenderscriptblur: {com/eightbitlab/supportrenderscriptblur, 8c020e43048b00f3878d482b1168cf12}
android/support/customtabs: {android/support/customtabs, 5de5c52de1f36a114ad968f754c5a5f7}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, cd009df0aff01abfec760870bd11610b}
androidx/legacy/app: {androidx/legacy/app, 2d127904ffda1a600d0235188040ec4a}
androidx/tracing: {androidx/tracing, 0f887924f48d4afdcf30c8192e4ed459}
androidx/recyclerview: {androidx/recyclerview, 51e557aa1b11fcab49df53e26fccb4b4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 9dcb3692758372a83be7a7887cfffecb}
androidx/concurrent/futures: {androidx/concurrent/futures, 6ce95b4456650f4f8c97e5cb3d181e7e}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 27ad343df49272c95570410cd9bd7ac2}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/dynamicanimation: {androidx/dynamicanimation, f0d7ab7b4fade115f47f4355bd247e34}
rx/internal/util: {[rx/internal/schedulers, rx/internal/util, ], 91d92d15ddae70c70c27274bb351394a}
