a6: {a6, 162ecbb43e7f2739ff7fca733757e0e2}
mc: {mc, 81fb5e8e758760b6feda614a99ce3728}
x6: {x6, a02601a896c383032c71888487df8e59}
l1: {l1, 669e1b00b50192f8c47c8b5819e65809}
i4: {i4, bbde97383e71bd480b78971196b68985}
na: {na, b195a76fbe1fd7d054073f9a10006f65}
sc: {sc, f8b92cb57955fdadb25559c527202a4d}
r9: {r9, 0f50cf91f734f49604f9d7c62cc6401a}
ua: {ua, 33b1413c3dd3da5f35d0c15aafe749c7}
oe: {oe, 4612a939026e507914b4481cf2cfaa64}
w8: {w8, 92b638a4bb8ca3299f956935cac0a136}
m6: {m6, 370dd007d0c447a2a23f4d0d0f1bc641}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, ccca91de151a6ff2e2636cc024623a6f}
r7: {r7, 96423c86420ca4ba20aa01e88cf25890}
g5: {g5, 5bb83e469a50f924ed42f74696997dbd}
h9: {h9, 59cb00343b4f5639fa809c252d3255f6}
u4: {u4, 46d0be06680936d761777c657e062f0f}
g1: {g1, e526d957d5059c1d10aa9e3e730b849b}
c0: {c0, 14f3b6a665faa8682bd813e9bb9a2c6c}
ea: {ea, a317dfe601402bf20d54a32f2e13d0ab}
cb: {cb, 07ea85943162f49be158c41c2b2b9fff}
o3: {o3, fc94df083b2c091d0bab19324bced4fc}
o8: {o8, c6c4beea7b42f6c7c37bd35b3cd907b3}
t3: {t3, 4538e76bb80b20966b85e67bed7e02ee}
androidx/core/graphics: {androidx/core/graphics, a27111510d4778aa2dd11c02337b8b1c}
h2: {h2, a2b1bc5ef2bc93b3ab87d8f83d2ee715}
u3: {u3, f068c309bb990e1df6512a8290f3dcc4}
z: {z, 48f29cb55ada2a5bb412cfbd46372a06}
yc: {yc, 7893630cd7a1bc918e7a59f420a281f3}
s4: {s4, 551de364cf64c983a3628e2ce1bcdb0d}
com/quran/page: {com/quran/page, 4115ca92fcd62888cfa2ef15dcff304f}
b3: {b3, 525170c547a027ef2e41448306b7046b}
q2: {q2, 742a4630bec54ea0a8082297f23acd99}
fd: {fd, 2b6470c1e83c8ad3e773704ac0e61182}
e4: {e4, 6c183b066f71cf61c5e6b681ca23c1d3}
ta: {ta, e4e3e1f585b990d4cfa37f7059c69c2e}
t: {t, 2e31bd15f3462ccb7540e4f01faadb83}
androidx/versionedparcelable: {androidx/versionedparcelable, 41e4d97ac17453fb584b5bbe4d17e47f}
s: {s, 6f4b997252f5f5c59bc00a21988565ed}
f2: {f2, 858230351ed192a74eccf765464ddcf5}
g8: {g8, 84b853bbd1e50e33b14eff1ad5bdabd1}
ce: {ce, 21509b1e98a7ff1a7c355271abaf0815}
zc: {zc, 7e3dce8662878afc3d43dcbcd1255be1}
v9: {v9, 02ee214666dbac3e5ba5a7f856aada22}
da: {da, 187b1a38beff2ab7ab7ff428dc9e7c9d}
bd: {bd, fec5aa6e3313faa7364711f981899bc2}
w5: {w5, feb932fc4166c20a411ee211b45d2de9}
z4: {z4, b2a80fb27e54b1129c2307217fb0af78}
v2: {v2, d247ff2a4b91ae8d3f73839887aa241b}
p5: {p5, eff1703ee2699e2c7b898ed22b01cbfb}
d3: {d3, e94f8fcb1f2ebfe4d6d73863ecf229e7}
k2: {k2, 9ba20ae404ce72cc763b7ebb9ca4b647}
m: {m, 384d528a0d5865fb5b2531659a0c353a}
q9: {q9, 7d8cc9803f380711c64c09f261575ab5}
e3: {e3, 121c82bb8f999d6d63ad72d103f7591f}
ra: {ra, 8bc479d9145f7cca51ec2759d1aa5b9b}
u8: {u8, 77379ec9fa16c76540ff42875f8b460f}
m1: {m1, 89d3e3950a41aa12ec18f22fa1d2bf48}
x2: {x2, 1536ac7a1c55085d4473723fc3467f82}
a2: {a2, 5ea68ff8f718b495632e5e7d60b0e7fd}
n9: {n9, 724fb867b537d5068b503c681ca78dd0}
s9: {s9, d4ca4ded2dc6853d1d58caf2ece14544}
n0: {n0, d1cde4d0f7c0027ab7bcfe99ad7e1ff5}
k5: {k5, 8b5b85482f0ff86a0fcbb96e4b6751bd}
f: {f, 046731bc45a9de0b5a38464e4af6b0c0}
x9: {x9, 0c16b3fdafe43d461b98f4a843bee1f7}
ie: {ie, b431d320f5ec0ed53482f15f0ee58cb4}
jc: {jc, 7d2d41b87212da822d84b049c6e0d76a}
pb: {pb, fcfcb98bcc0a2aed1f314d5adf2f1a32}
j1: {j1, 33fb31921af8076e6d160be97ff0f88d}
m8: {m8, 950d29cccce0f2d03692c32b715ae686}
a9: {a9, 3732c3032985471b03f9399627bb03c9}
h7: {h7, d2e86ced9a0675b4f84a6752f750746e}
f9: {f9, 65e7d8d241a2ca621c73e2485d41e990}
ee: {ee, bd09af5f21f54d74783d6bffdc8b02da}
i7: {i7, 264e7eb9c3ef92340cc9a45269a7e55f}
nb: {nb, 7d453468de3fdfe321926a10e13c217e}
androidx/legacy/content: {androidx/legacy/content, 63006038118614eb3131bc2f972f4b35}
u7: {u7, 823118c9ccaee67d3c82265879e3dc61}
v7: {v7, 033e0d5dec44a7e9e73e702558c7c0df}
l5: {l5, fc379bf3f535770abf88b0dc1d536f8c}
i0: {i0, f234e19cc8e8bafdb2565e9e376946ed}
s0: {s0, ece42c69bc3f1f1ba1cd9aa1b98960a9}
retrofit2: {retrofit2, d0090d0e69d2a32ba2cecfcf2ebc9146}
kc: {kc, 4a8820bc93db4e2f1ecdb1ce15501702}
b7: {b7, 93d3bfed8fb0298eaca650accac4ba60}
n3: {n3, 8d73b4b0c5a31dd999cad11c3a768e62}
c7: {c7, bfdbe5f2021576848de3580bef13d6be}
p: {p, 2004f6114b7e6db87b8fd145559173d2}
te: {te, 030edec3ed408691696cae4be9938e50}
kotlin: {kotlin, 5397013de1b65019c066c7cf7d54e5a5}
e8: {e8, 5984ff248cdbf77c31eb73370906fdf6}
e: {e, 6f2fbfc0c36ad5a2e3bff1e49456def3}
lc: {lc, f2545d48acfb65bdcb2584f81d41622d}
he: {he, c0c18952f2e53a5b9408de0742656a39}
o7: {o7, 76027089f2f2cb3514c6dcaf87119ea7}
t0: {t0, 8dc7929d1c437eda39b1771efcc7b77d}
ca: {ca, 4e1e8e5bcc7ecc59804ae39c897232e5}
r3: {r3, 5479bb4d3e20e44c096c15e7cf016829}
de: {de, 26727288e6b4ed0b22c12ce575317b29}
i: {i, 6ca1b787d706701400cf772e647e7294}
p1: {p1, 04e7200ec6c6d300a56ce031d72d1c6c}
d7: {d7, 1bfe350e1b9821e02611385c654a29f1}
ic: {ic, b66097a15b906f6a5d65345218e9f395}
q5: {q5, b0b9d95cb71697d5ea09aaf79c35b1ad}
e7: {e7, 185bc685a14d93ce3f567854abdf5328}
f7: {f7, 3ab7fbcd3ef5ac816c79843d03d960cb}
com/shawnlin/numberpicker: {com/shawnlin/numberpicker, 8d71918a376370e68c95c5cf5ea748b5}
qc: {qc, 8b30760ac02458829ec2a0a870943913}
androidx/activity: {androidx/activity, 85a42833c6fb6d0356392edb870736ea}
k8: {k8, f79d6e447a47e80a831f3d2452e40cd9}
y0: {y0, a2c465e05bf2bc544be37d7852984eb8}
y9: {y9, 3f299bc27a3070a8c9c4e3ea70f4e2a2}
com/google/android: {com/google/android, 136ccdfd45009726c7634e921a887b66}
