i/l/a: {i/l/a, 16bd4fce4b850e2a3f5c26484aa96126}
j/c/b: {j/c/b, 1dab1e1251390b7a0c8f1c636fcfacb8}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 29a743ec63d09963216e58d8b279bf03}
androidx/core/widget: {androidx/core/widget, 02d9838be4d7afb0e387ea0608ed2f36}
i/b: {i/b, 99131c4112cdc04318f58ab4bec872fd}
i/n/a: {i/n/a, 3071f1151afe735055f96ee810ff588e}
f/t: {f/t, fe84344ef89c0b6f76463728334e8fa4}
i/y: {i/y, 1858f963db794aa9c6b03dc0defa50f1}
androidx/activity: {androidx/activity, bd9e2d8b1231c0028a4d80b5b54741a9}
f/v: {f/v, a6a0842d18e6cf669fda9e779eac17b8}
dev/alenajam/opendialer: {dev/alenajam/opendialer, 8af28e1441b06053e48529841268feed}
androidx/preference: {androidx/preference, 966a6014e8cfa9d7843fb3de390dd218}
f/a0: {f/a0, d718e1667b78b010e4a2eb57aa6f87ce}
androidx/appcompat/widget: {androidx/appcompat/widget, f7fd0b1a9ff00a7cfc13099bfeb8383a}
androidx/lifecycle: {androidx/lifecycle, 209da4a8532408c57be1348c998a574a}
kotlin: {kotlin, 8f460011ea59255f7b61d71fd382efdb}
f/b0: {f/b0, c2f756694847e4ed981f4b5e32e8680a}
i/c/a: {i/c/a, f17d729ff38ec3f9278ae73ff51f6c0c}
androidx/navigation: {androidx/navigation, d3c992676ec42438d24f1f0ad8a70ece}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 3b68094f1aed808b33a68aa8c815b2e7}
i/d: {i/d, 27f1c3b3196f25ebd030eef201727cc3}
n/e0: {n/e0, ae6cb770065a80aed0a32d2c4e90c4ec}
i/v: {i/v, 77fc9bf932bf15518f15e1a5ddedf1ee}
n/e0/f: {[n/e0/f, n/e0/g, ], 2e525b55958c056f87457752072ef174}
com/google/android: {com/google/android, 75aec14e346d1f417e92efe1109e888e}
f/x: {f/x, 1ad626b5cf7333701568c6031d62465a}
f/a: {f/a, 8d7b68e4278fc106195ab6f19e94eee3}
l/a: {l/a, 3ef6b50d26cd599a8f9d6756baeb7aa6}
androidx/versionedparcelable: {androidx/versionedparcelable, 17d11d0836635d2e0f25e383be8bd90a}
f/z: {f/z, 9c364ac908c550638cc231d734724c44}
f: {f, 548d907abca00037a9b38405b5733ab1}
h/a/a: {h/a/a, 62e88fb06782df9eaaff17f610523aaf}
i/t: {i/t, f106f0ccc87682149d4de93695234ab3}
m/a: {m/a, a83453d54327d923ef8b10a223d031d0}
d/a/a: {d/a/a, e64385fa929f6382f9957fc983b1d9f3}
n: {n, 44a81bad7a124e22dfe9580444d293f3}
i/j/b: {i/j/b, 3f5ded81ac6c472bc7400bf131451aaf}
i/j/a: {i/j/a, a7131b3e816afb7016baec712e177c20}
androidx/appcompat/app: {androidx/appcompat/app, 303d7afdc97239e91daa220b2ae31549}
i/h: {i/h, abd678a1870f9d11fb474da334c9ef85}
k/a: {k/a, e82da0a3e57bb2423f2fbed3bde55a96}
f/u: {f/u, 434032c84a7b85368f341b2275600de7}
i/a: {i/a, 904a50dc7859ae1e9d1e2696bf1e7ca2}
j/a/a: {j/a/a, b22eb0887122414a7611846502f690e2}
i/p/a: {i/p/a, ffd06ae619cddf8e7944b27633b0d413}
androidx/media: {androidx/media, 76cfba89393dbd7947adaad9a9a1fec7}
j/c/a: {j/c/a, a319bf07e7a0eafc812baeb1f0aa704c}
i/x: {i/x, 503cf6c15da6fc9f30f2bd29ec92140b}
o: {o, 7e56f90b7b17af94026e244b40c624dd}
f/w: {f/w, 53df7c7ebc4fd95738b00c3efc53ad44}
i/o: {i/o, 34f262ec62695e1deb7b82a2583c7bdd}
androidx/cardview/widget: {androidx/cardview/widget, 3c60d5cacdb8cfb8e713ce5b5453078c}
i/r: {i/r, bf2582fd0b8f1c2f3e136c8790ad698f}
j/c/c: {j/c/c, abb01b6da947b0abf78bda01b8ebab1c}
i/g: {i/g, 9ddf71f6c454e2a2feea395cafa5f9b1}
org/ocpsoft/prettytime: {org/ocpsoft/prettytime, f7ea43eef8ebb7f5f3ad5992677df1ae}
androidx/core/graphics: {androidx/core/graphics, 8dc9be9ad1e969bf1dcb8562019b5c2d}
androidx/appcompat/view: {androidx/appcompat/view, 399604c20260c6ed67065ace70ccf5f3}
i/e: {i/e, 75d8c6367ff216cac977c0fab32d1690}
j/e/a: {j/e/a, acedaebbd01d4debdc19edeb10797649}
androidx/savedstate: {androidx/savedstate, 0682393c09fce78574684ecd9f4d4467}
androidx/core/app: {androidx/core/app, 991e6eac40c253af285ea5234cb1ef62}
androidx/fragment/app: {androidx/fragment/app, 63791379eac785d00fee8f2a732a985e}
j/b/a: {j/b/a, 5ae539c684cdfa13cb5138669c2979b7}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 66f001e81edd0b094a4c66304ed5e3bb}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, aeb9ce0b135d9dad17b16529c10daf8b}
i/q: {i/q, 62f4e3a029798441e231e5b444f568d9}
j/d/a: {j/d/a, 394ffd7b6d3a62ce69969a66866d2a80}
i/s: {i/s, b7ac1565455195a5352f2b98fb5fd570}
kotlinx/coroutines: {kotlinx/coroutines, e8bec09ebd74e8c14ced0641431fa494}
i/u: {i/u, 64f288facc6ac0bed506b41cb9c294c0}
i/i/a: {i/i/a, 0f4a78a60707725d8b79e3b97cbfb0c3}
n/e0/e: {[n/e0/j, n/e0/e, ], 933015388fba6cd67f4d287c11f3c117}
f/y: {f/y, 576f6d94d3601baedbd6154f81c94a59}
i/f/a: {i/f/a, acd1d2d6846b666254c5093a0bd04ea3}
i/k: {i/k, 3ed932c8812b0453cb3c9e875555a1a9}
com/squareup/picasso: {com/squareup/picasso, 4060e2fde322a941bfe52488cff39690}
i/m: {i/m, 7e1e6c0853f1daaf665060ea3eae917e}
androidx/recyclerview/widget: {androidx/recyclerview/widget, cd486e420f784f2d14367b009eb7089c}
p/a/a: {p/a/a, c78fbc368ffeca9a7fddfb549c0ad0e4}
i/f/c: {[i/f/c, i/f/b, ], f63444f1c98f6d5865dd5029083d98f1}
androidx/databinding: {androidx/databinding, 27db9a5819d01e509d8f6f899b9c5df7}
