androidx/appcompat: {androidx/appcompat, 0dc5a39ca7ac1f125cfb361fcfe8b043}
com/esotericsoftware/kryo: {com/esotericsoftware/kryo, 0dde51152bb8f7723170e98782c45886}
com/blacksquircle/ui: {com/blacksquircle/ui, 6d7478dde875aaea0e2318ed8fdbba43}
kotlin/internal: {kotlin/internal, 90e9ba4f940d5bc2fd18b84b73cf7986}
androidx/activity: {androidx/activity, 4ab2f03d4d3089e61647f5fdae233345}
kotlin/sequences: {kotlin/sequences, 3032cc1ada047069475f170286195b6d}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 1b19aebcea437bdf68c09fdd1c65fcdd}
androidx/preference: {androidx/preference, f55eadb0894e63d8b2179fb8ce6b4e7d}
com/simplecityapps/recyclerview_fastscroll: {com/simplecityapps/recyclerview_fastscroll, 18fec4c684b252b303f12eaaec3d5211}
com/google/android: {com/google/android, 6bc1e01010671b7b0ffcd85cd005a77a}
androidx/constraintlayout/core: {androidx/constraintlayout/core, e51dbf4817e788723717e98bccad1706}
org/jf/dexlib2: {org/jf/dexlib2, 83687d94402c234086d729bb65c01ec1}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 8d41650af9acad8df4875c98264f809c}
kotlin/random: {kotlin/random, ef176d54bd21f617e5856b8151cf5a6b}
io/nekohasekai/sagernet: {io/nekohasekai/sagernet, b2372ae4447da72992958a89e89a266f}
androidx/cardview: {androidx/cardview, 27a87522b016a76b8dff7b24416511bb}
libcore: {libcore, c3a3c26f8ef743b257009d29a155aad4}
java/nio/charset: {java/nio/charset, e50a68e4bbd97af3ef284840ae39101a}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, c069b660edd5470450fc3b53a70df522}
kotlinx/coroutines: {kotlinx/coroutines, 1282fed8f24122b6b4241df7dab0967d}
androidx/browser: {androidx/browser, 51115c7ccdd3c1944c9224a13a3e5041}
com/google/common: {com/google/common, 9d4fada7db03c821510fce7b4d5859f3}
androidx/savedstate: {androidx/savedstate, d8c4583e70e396c3c7f3e712e1dc0f70}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, a274ed52c09f2bf40f634b0f1a23d84f}
okhttp3/internal: {okhttp3/internal, 04e320970c9eb665e181d9564b0861a5}
cn/hutool/crypto: {cn/hutool/crypto, 67a6b4e0f0609796a7efe08cccf87aba}
