kotlin/collections: {kotlin/collections, 395d29423a01dd49632fcf17fbd2be41}
androidx/appcompat: {androidx/appcompat, 0a8f32092b9773c1b7daa41d49c179c1}
com/google/auto: {com/google/auto, 47f3ec10c34c36c4e085ea8b2863134d}
kotlin: {kotlin, 3aa2f91b9ede33ced30cf64099f8d9ba}
kotlin/io: {kotlin/io, 39d98f5c09fed287f2ea8eada08ef108}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 0516141b31b2cce77b822c497da106a5}
androidx/room: {androidx/room, 0d6d6ed2dc9b376671a9b0b09ec11cad}
androidx/activity: {androidx/activity, 5de90bfcf2e8c77fa3f38f53bd91149e}
kotlin/sequences: {kotlin/sequences, a91122cdf0a5f70e92c42d65f008be3f}
androidx/customview/widget: {androidx/customview/widget, 6a718fa154b90f2f6a99ee07928c020f}
androidx/core: {androidx/core, b47188ada95e4d94ce643b0d48180adc}
androidx/preference: {androidx/preference, 487f76dcd73dd7286d91b4a5537665a1}
androidx/sqlite/db: {androidx/sqlite/db, 7a0d6aa6ba25daa5943269cf9b23e18c}
androidx/lifecycle: {androidx/lifecycle, 082d876ae51baef0549d6c069fda39f9}
androidx/fragment: {androidx/fragment, a1b301210f8a0ee44609503755095b4b}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
com/xwray/groupie: {com/xwray/groupie, 4f21a0f4a995512046386083f11acf04}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 818cf5157b747375228f6687c23112b3}
org/schabi/newpipe: {org/schabi/newpipe, 7bc139ae9dcb26a03bd8ed28e5195079}
kotlin/reflect: {kotlin/reflect, 30fca3c14c02be01bee2c6c9c0108bda}
kotlin/coroutines: {kotlin/coroutines, c0672b1f07cb04c64d5aef55a182aab1}
com/google/android: {[com/google/android, com/google/common, ], 6ad7df73093ed9498e1d61db3e69e859}
kotlin/text: {kotlin/text, 6c797493b781af86853db55b21394a5f}
androidx/viewbinding: {androidx/viewbinding, ef696161f3bee993375ea536f05d4e19}
androidx/versionedparcelable: {androidx/versionedparcelable, 71f5074a000b738c6815773dd6d8737f}
icepick: {icepick, 3fbc18571b23a5589740761076bd28f5}
okhttp3: {okhttp3, 09e86a2709ac9b0714317be173168bd6}
org/mozilla/javascript: {[org/mozilla/classfile, org/mozilla/javascript, ], 0bb06b38930c9dfab23596190592bef4}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 161427df2ba237c2285742daf0330256}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 5d71f04c23d4e30aaa6cb346728ea99b}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], c8ba427cb0a84083b5dbbb4db2a9eb48}
androidx/collection: {androidx/collection, e838bff8f9fffe8ce3aebc28a767b208}
androidx/sqlite/util: {androidx/sqlite/util, 3d28342940cce4d8f48a3d5c90deded9}
androidx/transition: {androidx/transition, d6251474bdb205a58cac006b9125b7ab}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
kotlin/internal: {kotlin/internal, e4e8e8778a99150fbbb760b0055eb59f}
io/reactivex/rxjava3: {io/reactivex/rxjava3, 6a6b69aaccf3230894d5d6828c3969fe}
com/nononsenseapps/filepicker: {com/nononsenseapps/filepicker, 6e5269555b5e7d4406b618c9f0e07fc2}
androidx/cardview: {androidx/cardview, 27aa524cb2f4f84ce1769b2787aa9a7b}
androidx/drawerlayout: {androidx/drawerlayout, eef6110e418b7a1aa3c2aef3293a3cb5}
androidx/media: {androidx/media, 17813c16346fdf8f6c48261f11b8477e}
kotlinx/coroutines: {kotlinx/coroutines, b7af11e303b6e4ae1454c29d610595f5}
androidx/loader/content: {androidx/loader/content, a8c54b4b6f0c17e9614d43448f1a0e50}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 8e5b210350a28dc41a89fcdf19ba8991}
androidx/exifinterface/media: {androidx/exifinterface/media, 94bc41bbb14bcec6381116718d717138}
androidx/viewpager/widget: {androidx/viewpager/widget, 6e8dbbf2328af759003686eb141312f8}
androidx/work: {androidx/work, 551446303a1294fc6c6ffe763e2bd909}
androidx/customview/view: {androidx/customview/view, 2e907f344d4890f33f157e50a6f64e32}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, fba5b88744b08d4f5151e712a029dfc5}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 1c8817613b3649679793369ea7c4ea07}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
androidx/arch/core: {androidx/arch/core, 44978b7b63bb95b0bf29b5b4b29e318f}
org/ocpsoft/prettytime: {org/ocpsoft/prettytime, 9b7ccf7507e5d0aecdee4cf351c74e70}
androidx/emoji2/text: {androidx/emoji2/text, acbb6000b0a86e8f3fceaa9cf337a869}
kotlin/properties: {kotlin/properties, ee439fc58a1807c2b6e7cb704cf10438}
com/jakewharton/rxbinding4: {com/jakewharton/rxbinding4, a067540ca13877604d6a09b8ecbb817e}
androidx/viewpager2: {androidx/viewpager2, 89c965068fc1f3621c596e290a680772}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 74f738589c74ad9d44ece3708afa871e}
androidx/savedstate: {androidx/savedstate, 24274274ba1eb9578f88e5cc5f6bb734}
okhttp3/internal: {okhttp3/internal, 39fe8ef08ae7485cf8ddd4f325403d08}
org/acra: {org/acra, cf85648ea697556f904a069eba748a97}
