a6: {a6, 26739d18dc41712e727c63016afc8fa4}
p2: {p2, ad8d3e8411df9c1b3ef374ab9b53007c}
androidx/compose/foundation: {androidx/compose/foundation, 9b171e0c88f7a340599319128b56d939}
t0: {t0, a8b2cc57de776a9947ac32db8afe69cb}
j: {j, 5bf531e45c7cb1f9bb050dd039d3c222}
c1: {c1, 576f5a5d7439a51fc75b68e96c9be3e4}
d: {d, 86d216adb77c38e76fbcd0cab8b6e63f}
q4: {q4, 67d19d962c19c3a0d3ba0c9129fa2fb4}
androidx/activity: {androidx/activity, 701fb605352fd8f18eb3720c8383b617}
x6: {x6, 955a28c0031cd5c33dca4d0b6cf3194a}
l1: {l1, 368bde71b3bcf108c816496ea63ddc3f}
i4: {i4, 9568649b73d36a1c50a18d71c95d4528}
androidx/core/widget: {androidx/core/widget, 407eaea68fe573535ea4e9798d895f67}
coil/request: {coil/request, cbfe8f793652d661c4726e7c89c53a6b}
g6: {g6, ecbd2c1935b2bf0ad4a262d553c7de19}
o0: {o0, 9e1470e7982d7177a4adb7e070dbe343}
b5: {b5, b98ac8bd1451339683e614eae7ae1e8d}
v2: {v2, 05431cb338b1b05ebb715e33ae528175}
z1: {z1, d6e49fae833f92d0393dd0a7c25a48ff}
m6: {m6, 7b3e208faf4bec56bcc10bd29460247b}
t2: {t2, 6d56b0986d517e13d8430478fee11ef0}
w0: {w0, 5a63b5d6b8846b0645ec73213b216583}
r1: {r1, 5860aa77d4674d89beb5d0ed2d3fb7cc}
e6: {e6, bf6626487ecb3c83d91247a297a8e012}
j5: {j5, 6ddebe76b3d6a8123fa0f861feae3199}
l: {l, 1e1612ea02f50227b9ad24e80f2aaa21}
androidx/appcompat/widget: {androidx/appcompat/widget, 15ede45b6b22108987abc57841372d72}
s5: {s5, 82d9d0e033864c2574455ebbcb98ac3d}
f4: {f4, 05679ef2c923c8a43dce8e624b8562bf}
b: {b, 2bfcecd4e0e3bfdd8d151c78b8d60f1c}
k1: {k1, b3654a219b1fa21474dbeed3447cdbf3}
k: {k, 2711c39538e75c2c506be983da7cc205}
x7: {x7, 8f1027319d018fbe6b1408587dad9668}
g1: {g1, c5317864585b48d92e4684d0496934b9}
c0: {c0, 5a743a18691d65eb24f3eec67b782cdf}
a5: {a5, 32076a5832e940aa4bae62a9d357f5fe}
p3: {p3, abd837e9d4d4dab47d01f5af58923a21}
e5: {e5, 8ff21ab09ac260294d10bc09b9b622eb}
y7: {y7, 776edb5cff579383eb94f5409ee4ce01}
d6: {d6, 3f131cba66d68f18e223b1d8c6b41a43}
l2: {l2, b98c240d0598acb874050490cfb8b0cd}
i3: {i3, 07ec0f620db8e8b3c4e49e4ae5b35496}
androidx/core/graphics: {androidx/core/graphics, 6c474218976ab8157a4d3fabb6152824}
o3: {o3, dce0b596601dc8d929719428f59faea6}
androidx/savedstate: {androidx/savedstate, 9911675d33decf6d0276198a880a29f2}
m5: {m5, c4cbd4545e61c2844cb125c4e5484ad3}
t3: {t3, 449dfaad46ebbca48d8db937fd885b47}
j2: {j2, e240ea5d27cd102ba9341916ce276083}
v3: {v3, 237ccb81d948672721458d759762ff4d}
f7: {f7, dd24278b8f348ce6c776d1e535bbf6f5}
h2: {h2, 2d1bd10f4729063383ad1abe63d91e14}
n5: {n5, 37a220407a4d4f9464fa5faa96a6ef86}
u3: {u3, e5fe184e14b413e056f0f0c7f30410a5}
r: {r, eb0a87f8aaceded9270a1e7816a95457}
s7: {s7, ce37f7f039cfd4371ba34c3a9bac5e5b}
f5: {f5, 76d607895aca160173dc9b0151d69f98}
androidx/appcompat/view: {androidx/appcompat/view, fc5ea257045700a71dd79f296da901c2}
w3: {w3, e4cc2e22cf5a333ac3c18347c62852f3}
z: {z, 1ec96167e6d47460c49d1be62a26d54a}
androidx/compose/ui: {androidx/compose/ui, 8d65dc9b854631258375a5a4f09861bc}
