androidx/appcompat: {androidx/appcompat, d6455f2d060022b953b6db8ec80a4c3c}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin/internal: {kotlin/internal, c1d639e50307f896e5c00a79d4e2af6e}
androidx/activity: {androidx/activity, 09ea98eab619cf3521b8f9530886607f}
org/parceler: {org/parceler, 405b829f7729339e57cc55dc72828253}
kotlin/sequences: {kotlin/sequences, e69a40f40b244ed4ebe8a12eb87ec55b}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
timber/log: {timber/log, 29b7e74769b92b1b9701aaca0799deba}
androidx/vectordrawable: {androidx/vectordrawable, 0bec9c2f4bf3315f2d1fcacbe22fb6a6}
dagger/multibindings: {dagger/multibindings, 5101afc60488a6ef0e232e79185043f0}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 468892678b6f0cb94a3986f54740e226}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 1b94a8a1bb313b7e779c92fb8abfd2c0}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 17faf664d63ba17a14a4caa8a0619b5c}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8f460011ea59255f7b61d71fd382efdb}
dagger: {dagger, 295171ed08b4ff7cc8141e240ab629d9}
org/jetbrains/annotations: {org/jetbrains/annotations, bc63f583cf07e2650b5373e01ec38c6f}
androidx/emoji2: {androidx/emoji2, ac3ed4c55c96bc78d873a6e25178eb00}
butterknife/runtime: {butterknife/runtime, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
kotlin/text: {kotlin/text, d267f76bc3a6bd7524188b1d5dca9180}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, c24d55b6d5f0586c46d6d0ad700bb440}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 730d94693129fa11db206abdedf2b0e7}
androidx/startup: {androidx/startup, 914797f3e24a11526a9bd3440847489e}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
okhttp3/internal/ws: {[okhttp3/internal/concurrent, okhttp3/internal/ws, ], 020eb29b524d7ba672d9d48bc72db455}
okhttp3/internal/http: {okhttp3/internal/http, 7df00a59d7bb1738ac7cfd87089174bf}
dagger/assisted: {dagger/assisted, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/lifecycle: {androidx/lifecycle, 7d9bb658b4229a8f469fd0b0800bf2b1}
retrofit2/adapter/rxjava: {retrofit2/adapter/rxjava, a41951ed89ef7f7ba91130f2868b186e}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 2271646c79843cd2bb8612a7d013d075}
okhttp3: {okhttp3, d0f8dc25211ee517c492a95b5c12dbc4}
androidx/core: {androidx/core, 446fdf343522a3616a2f7732b69c2bb6}
androidx/collection: {androidx/collection, 61492551ebb496236d815c70495da17e}
androidx/transition: {androidx/transition, a14738e1455b5d72dcb7e53a8eee8afe}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/multidex: {androidx/multidex, 903f2bd691859506bb806c968dd4e463}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 3bd539811c31aec46ba5d7c9b23fde14}
butterknife/internal: {butterknife/internal, aea1c249a7f35037b659f67fd0c60fc1}
com/facebook/device: {com/facebook/device, a37c13f17a41d14ac5150bee47c9293a}
androidx/viewpager2: {androidx/viewpager2, df57d617c13fc20141608bf6e4528434}
androidx/documentfile: {androidx/documentfile, e22976f96cd13bde836300f702c8fc60}
androidx/recyclerview: {androidx/recyclerview, 2787003a55c1bb3452fb694d503169ad}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
androidx/dynamicanimation: {androidx/dynamicanimation, 1f9a5d45e51b6a7477a6151da88f6e7b}
kotlin/jvm: {kotlin/jvm, 2f77c6a3de9c577170a0b3b4b8fd150d}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/io: {kotlin/io, a0fc8c4251f44efd1801fa351faef090}
androidx/loader: {androidx/loader, 4bd754190be5b8a02f5a541bf0cb3a66}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 647ac94efd6effb15b0f18fbb4eea173}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 3af32e239c2835ac2bd0c7386fe79949}
com/google/zxing: {com/google/zxing, 1c268844d6fb681fe9225b76cf530e98}
