rx/observables: {rx/observables, ae8b227779448c4236e5496e1328de29}
rx/functions: {rx/functions, f484483539ace4d6d87c2097bcac63af}
rx/subjects: {rx/subjects, 126cac888cb21420554911dcdd38a63a}
rx: {rx, d284f90f1cf40979f2f2cef07fc4eaec}
com/codetroopers/betterpickers: {com/codetroopers/betterpickers, 100557960b0fbd215c48f9420c1c6dfb}
com/zireck/calories: {com/zireck/calories, 3f2ee1a2676474b9bd4fe4b986c1b230}
com/txusballesteros/widgets: {com/txusballesteros/widgets, 95cc5137aca273e8b6fb3b1de59af8f5}
butterknife: {butterknife, f9e10ad9f327b26b799c7d41e931416b}
com/vstechlab/testeasyfont: {com/vstechlab/testeasyfont, 1e6c2cad726f3fa7ed187eb106a6bd7e}
rx/subscriptions: {rx/subscriptions, c0dd85ea6fc83ee92787a97d79bac6ae}
com/dlazaro66/fitindicatorview: {com/dlazaro66/fitindicatorview, d10e8c546cef35ce3c46f0afe5a0d3f7}
com/wdullaer/materialdatetimepicker: {com/wdullaer/materialdatetimepicker, 47703fdcfff1923473368f88edab324e}
rx/internal/operators: {rx/internal/operators, d6b34c87733ee5bfeeebd2a2ccba236f}
android/support/annotation: {android/support/annotation, b0adb10c115d59b33d39026729be4fc6}
com/nineoldandroids/animation: {[com/nineoldandroids/util, com/nineoldandroids/animation, ], 0bfb5a173abce59c317426b9fbcb18a7}
com/zireck/projectk: {com/zireck/projectk, 9112de19896333b665aed6e24e542fa4}
fr/ganfra/materialspinner: {fr/ganfra/materialspinner, fca8ce923fde32f7424a0dacf7efad4a}
com/h6ah4i/android: {com/h6ah4i/android, 4f1750b6ae87a1299d88cb1682f5567d}
com/balysv/materialmenu: {com/balysv/materialmenu, 566ed8f76de3e3ea0e6cf5d2ddd4d092}
com/github/clans: {com/github/clans, 1187c64ff4e76ddc3086257572553a3a}
com/nineoldandroids/view: {com/nineoldandroids/view, 7f2c8607365a9206fb72c42221adc9c9}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 2e87b2b6b69c0c5d1c2f87414c71026b}
net/steamcrafted/materialiconlib: {net/steamcrafted/materialiconlib, 9de517e9522f13ee7b988ec9262ca254}
rx/observers: {rx/observers, 4e5230907a798f58bed5874f9d251517}
dagger/internal: {dagger/internal, 95793ac80c227e9affddc608cf4a610f}
com/amulyakhare/textdrawable: {com/amulyakhare/textdrawable, 15e8c5cddaa88d08a8ef67147caf7765}
dagger: {dagger, ac7037b400b77202d4b11a4a39ce5965}
android/support/v7: {android/support/v7, 477ddf810f7fbc7e228dc3a2031899e0}
butterknife/internal: {butterknife/internal, fca6de7dd86c0b0b223af346760fa32f}
com/dlazaro66/wheelindicatorview: {com/dlazaro66/wheelindicatorview, 5e7a5761b119d35d5952e5c84662cbe3}
rx/exceptions: {rx/exceptions, 605f1cd11bb161fd70eded146a544e0b}
rx/internal/producers: {rx/internal/producers, 4b931400ec458a064e615644d8058ba9}
com/astuetz: {com/astuetz, 4fe9fb204d57b97d7f79d054deb95263}
lecho/lib/hellocharts: {lecho/lib/hellocharts, 9de05bb5ca96fdd0f4ceeb91b2c2d6de}
rx/android: {rx/android, 5133fb70344b791df35277252c3dd443}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
rx/plugins: {rx/plugins, fbca1ca49425c9365ce7ba8c347f69bb}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, 10969758e7d3ffea58f3db9f8f97b201}
android/support/design: {android/support/design, 7e4102baa58a3199bfca7d6c6e655301}
de/greenrobot/dao: {de/greenrobot/dao, 7d90001faea74fd84943e5f981ccf09a}
rx/schedulers: {rx/schedulers, 0caf1b05f475ca8ffdea99e63f327a04}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], ab3387a19a08ba0d5801c75fe5e55843}
com/vstechlab/easyfonts: {com/vstechlab/easyfonts, 8f71936eb17d9a2df79aadf141c7db25}
rx/internal/schedulers: {[rx/internal/schedulers, rx/internal/util, ], 0218ad91f0d17b6d8e648a21f2dea608}
