androidx/appcompat: {androidx/appcompat, e812978c8bde6ff3329d05f88059655b}
androidx/camera/view: {androidx/camera/view, ef9260872587cd5775f87487bf3e63f3}
androidx/media3/container: {androidx/media3/container, a9cc3b008570a29c1a51d41a33ed3b4f}
androidx/room: {androidx/room, 9b48976eb3e88ad09edeaaf540f97f61}
androidx/media3/common: {androidx/media3/common, b6368be5d0ff6f89068dbd0ad6f87470}
androidx/activity: {androidx/activity, 6cfe0451b540ade872e0abb688c0765c}
androidx/profileinstaller: {androidx/profileinstaller, 7cf7740cb7695b143f6593a904a91c45}
androidx/customview/widget: {androidx/customview/widget, 22a0ff72ba18bc7c951abf6d68a20606}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 283de4f69d73f5d8d94df2a5d8f8b8da}
androidx/preference: {androidx/preference, 5f4c44c326e818bafc3551271ac434fd}
androidx/media3/datasource: {androidx/media3/datasource, 20d59e7ff34368379437d50a449a71ae}
androidx/lifecycle: {androidx/lifecycle, d1d902329eac13ab156b7f87b339c42d}
androidx/fragment: {androidx/fragment, 9f20f9eee692baf60a87bdb4c39229be}
androidx/media3/extractor: {androidx/media3/extractor, 87a8a34cd3835cec1395c3bfb147fd31}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 818cf5157b747375228f6687c23112b3}
androidx/media3/session: {androidx/media3/session, e82a314258deafbf4944675c96704932}
androidx/media3/exoplayer: {androidx/media3/exoplayer, dfa9940cbd4b3de6f9d6df0e510161b7}
androidx/exifinterface/media: {androidx/exifinterface/media, c693194afcdd456a32dce874749a5c94}
androidx/versionedparcelable: {androidx/versionedparcelable, 0e22584700042aaad5d591595aa80c5b}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, ab6ae71b81463a604aa739fc06b77f22}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 3c88255741d4b5ae11839ba3e07b3b6c}
androidx/core: {androidx/core, e252016b0bebf4c0318bcf57b63b62c7}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 532529203ce307acf5caaae5d8b28009}
androidx/collection: {androidx/collection, b6b7480dd8b67281f5dab3a04b890ff0}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, d1e0a0db6ac5c9da3904140234f80a63}
androidx/sqlite/util: {androidx/sqlite/util, 2dce332df06cbed04b409c7162efbcdb}
androidx/transition: {androidx/transition, 4c62d7951727e1ba03a28346fa4757c5}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
androidx/multidex: {androidx/multidex, ad87aecc4599a9cc86bcfe87566df448}
androidx/cardview: {androidx/cardview, 8e5fef90c0a9a2cac7c6a802e58eba83}
androidx/drawerlayout: {androidx/drawerlayout, 58c6785bd7d09021dd54d8ae617fe4e0}
androidx/arch/core: {androidx/arch/core, b399141a787692fe5779f39099643e65}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 17b76d3f7c8224bcc70e8cb291cd74b9}
androidx/media: {androidx/media, 55ffb23bcececb68e9fe217f849e1678}
androidx/window/layout: {androidx/window/layout, 03f99a17cab8ca7d48b24d01e2a0f071}
androidx/viewpager/widget: {androidx/viewpager/widget, 8bf0ac662fb218b1bbc89719c55533c6}
au/com/bytecode: {au/com/bytecode, 90343eac9423dfc9616f8674d891de64}
androidx/paging: {androidx/paging, 891b29b7302dd3ce8700dd4d58520c98}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 9ae831257344dec7d418137e955f4b81}
androidx/work: {androidx/work, 77408bd2e149993fd69cb1343992648a}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, cbfa27a98a24403019ee5bcaae6c07c7}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 273dd8b99922f28948afab877e1b2f48}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 146112c62012ace81a5b6a96c57e1ed6}
androidx/emoji2/text: {androidx/emoji2/text, c741492a32b18619ccb5e632cd1db055}
androidx/camera/lifecycle: {androidx/camera/lifecycle, b7f60be13ca4c7804a07595f9dcd42a9}
androidx/sharetarget: {androidx/sharetarget, 925ed05ec3aa52f525fc1fbd10eca23c}
androidx/viewpager2: {androidx/viewpager2, 706d5820aa30b2c3f583294d7f8b58a7}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, e5fbb1bbc01ac7326a9d42d57808936a}
androidx/savedstate: {androidx/savedstate, 44074e27caf018a59ad4524e1c3ae1df}
androidx/customview/view: {androidx/customview/view, 2e907f344d4890f33f157e50a6f64e32}
androidx/media3/ui: {androidx/media3/ui, f45025cd86d1d7ce23d0a9fcd00ad1e2}
androidx/sqlite/db: {androidx/sqlite/db, 6f40153afc06fca15641f86e20e873ff}
androidx/camera/video: {androidx/camera/video, 59cc1b28598f4928f24e06a5833f6886}
androidx/window/core: {androidx/window/core, d98c7e3bf69a71107e353b7aecf50ba9}
androidx/media3/decoder: {androidx/media3/decoder, 6ad7e0e5968048ec166ae7f957691d36}
androidx/biometric: {androidx/biometric, 010c22a04394bc66fc7f25f776f1ba32}
androidx/tracing: {androidx/tracing, 4a1e7056b8d7a164f6a0f62b506f4c4a}
androidx/camera/camera2: {androidx/camera/camera2, 0669cad9925123724e89ec3edc879acc}
androidx/documentfile/provider: {androidx/documentfile/provider, c44ec67c755d826563a0b7f380cd3da5}
ch/threema: {ch/threema, c0a8c065f81226d84a9f5c0b33485987}
androidx/startup: {androidx/startup, 74c23683a255e64cab9b36fff988e7b0}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, bc3759793946f3a1a22526737ece4c30}
androidx/concurrent/futures: {androidx/concurrent/futures, d9bbc6fb8a103551afa52685e26f34cb}
androidx/recyclerview: {androidx/recyclerview, 1710189e8130cf25547636f410d97cba}
androidx/loader/app: {androidx/loader/app, 0013773c26a389621c4e4fd89b06bfc0}
androidx/camera/core: {androidx/camera/core, 7b77a62bf06b1cb50e0e7687c09da0df}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 4fc6632377b181724d9fa8df6ebbdaa7}
