androidx/appcompat: {androidx/appcompat, 88f8cc258fd195abe0a59cb67eda9bf4}
kotlin/collections: {kotlin/collections, fa5a117704da83c5ac7f290a771a4a24}
kotlin: {kotlin, d31c8058ced36d9c7acabc9e7cefb7dc}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
me/saket/bettermovementmethod: {me/saket/bettermovementmethod, c78151ae166e36e9d8e09ebc402afb10}
kotlin/internal: {kotlin/internal, d2696755dd6f7fa923934ef5cd8a0643}
androidx/activity: {androidx/activity, bf8067840a48b4e1876e4dcbc66310fc}
kotlin/sequences: {kotlin/sequences, 1cee88acd1f62af330177baef97ee7a0}
androidx/core: {androidx/core, cd5b6881226ea96acd4bc4f5782de85b}
androidx/preference: {androidx/preference, ceded3e8e42a81981cb8d07bd09b0ce0}
androidx/customview/widget: {androidx/customview/widget, f914bcdac817443ce62b26ce446763e1}
org/ligi/snackengage: {org/ligi/snackengage, 79b189879da14997df2ec9d3bdc667c8}
androidx/lifecycle: {androidx/lifecycle, 16c23bccc083767abf423b1fe3156f5d}
androidx/fragment: {androidx/fragment, c8f9e19271d13cba920d33c684b1fc70}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 0b9949568eda4141c1e85bad3e2b98b3}
kotlin/reflect: {kotlin/reflect, 9c6c0b66d6c47154da14ad4cd741c190}
kotlin/coroutines: {kotlin/coroutines, 58a3fca2464b60ccdebbd1e111a0d32e}
com/google/android: {com/google/android, 75b96b325e27e6acd556a3597295b38b}
kotlin/text: {kotlin/text, b934620f2774eaefca86c7d59ba78873}
androidx/window/layout: {androidx/window/layout, 09308c253e11e6ed2d429a6fb1c4580d}
nerd/tuxmobil/fahrplan: {nerd/tuxmobil/fahrplan, c5c9a7f78fb38eb81da50f8d3ef7d30d}
androidx/versionedparcelable: {androidx/versionedparcelable, 23ec1521a5e000441077118967b589bc}
okhttp3: {okhttp3, e2d9756e8c7cf4f5ceaae91993da1de9}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, c779d279468bcf4309fe537fbd491852}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 3df0ce9c99bfdeb1ff60b328dbc561d3}
androidx/coordinatorlayout: {androidx/coordinatorlayout, b0f8de8f60a2c25764321b01ee38854d}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 4d175f651c278a16290ab3fe34e33ebb}
androidx/collection: {androidx/collection, bfa303a1e1b6002144a6599b5b7602d4}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 5f613af957a001d58f7eb186938ceaab}
androidx/transition: {androidx/transition, 16d398541eaf6ff94669cb030420b02e}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/interpolator/view: {androidx/interpolator/view, ee54aef26025686b20793115ba6db979}
androidx/multidex: {androidx/multidex, 4c5c26cf4d5076399947f78b425a0459}
androidx/cardview: {androidx/cardview, 21edef9f55c8bb7c347b50fb17b40db8}
androidx/drawerlayout: {androidx/drawerlayout, f73965334893c08bd1be266f0147784a}
org/ligi/tracedroid: {org/ligi/tracedroid, 60f7883ae22faffe260821306b8d1fcb}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 518c76638cd2aea652730e046e1c9946}
de/cketti/mailto: {de/cketti/mailto, e82cde343a2505d35221f3ff1cffade6}
kotlinx/coroutines: {kotlinx/coroutines, d30dfc0ce06fe763b5ab7dd99de4f280}
okio/internal: {okio/internal, d1a2bc8765588aad23751c2c0366e76b}
androidx/viewpager/widget: {androidx/viewpager/widget, 4768a4b829cc9ac33ae06843cba65733}
info/metadude/kotlin: {info/metadude/kotlin, eee8e3d767bd4274cbf6e86676f3af0c}
com/squareup/moshi: {com/squareup/moshi, cb1017b66b5538510c94d8992d97a3a8}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, e56feb7d90935ceb54bf30b5f27b79b8}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, dde3dbadffa52c28d4a70bb85248af38}
androidx/arch/core: {androidx/arch/core, dafd7ebdd36c08bf84fa35d1cb6dd46d}
androidx/emoji2/text: {androidx/emoji2/text, 1aa1319d97704b0f3244c7cf7e98e954}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, ad50552557420ab8fb5bcbac0aafd87d}
androidx/viewpager2: {androidx/viewpager2, 0e11c1cb23ce7da9a3a7a294944a328f}
