androidx/appcompat: {androidx/appcompat, 003f860574b60f393ebfb1b6f13ed7a1}
kotlin/collections: {kotlin/collections, 2bb6b5a819e058462943d7385d0f29ce}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
kotlin: {kotlin, c3f73129fd088f59882779a9b38c4ad3}
androidx/media3/container: {androidx/media3/container, 2aea6e75828e2751a924f3a7b33b926c}
kotlin/internal: {kotlin/internal, 94d9213aa261946e1dda2a0e4b18b1e6}
androidx/media3/common: {androidx/media3/common, 6c5bfe0a13b0e90c90a68af7aa9141d3}
androidx/activity: {androidx/activity, f3e0e7416eeffddc61af7bf2eb68e2b7}
androidx/compose/material: {androidx/compose/material, b18c49d5842f8a32aa8022dd8eafe62f}
androidx/profileinstaller: {androidx/profileinstaller, 4b2793f4f032e556c03f29afcd88155a}
androidx/customview/widget: {androidx/customview/widget, bbb1ec211473adc634ea0f6ff39a327d}
androidx/coordinatorlayout: {androidx/coordinatorlayout, e281c5ea559992462e0f7562a6abe201}
androidx/compose/foundation: {androidx/compose/foundation, cbcd60bb19fe9b7dda2e75a0b17c7a45}
androidx/preference: {androidx/preference, 59d78588e21adb45adc4485f8e961ab9}
androidx/media3/datasource: {androidx/media3/datasource, cc0dda1e8b1a4882093d53ce6b9f8a6f}
androidx/compose/material3: {androidx/compose/material3, a57425a8b13f97c6396116e06da50d63}
androidx/lifecycle: {androidx/lifecycle, 4f46fa431c1f866a24eda3e8070d84d9}
androidx/fragment: {androidx/fragment, 4b17c35a0bf927d10627e4b13d20a46c}
androidx/emoji2/text: {androidx/emoji2/text, d5bacfc4b97f5979fb2346e9b5579ff6}
androidx/media3/extractor: {androidx/media3/extractor, 9f7c23f5072645d0271d8c5c0812fbc6}
kotlin/enums: {kotlin/enums, 3ea805ce4b34511347c45720c7b8b744}
androidx/loader/app: {androidx/loader/app, 9fbc4bf4caf8cd21e862396027fdded5}
com/github/luben: {com/github/luben, bf15679b84b2dc85cf00da44a5e73f22}
androidx/media3/exoplayer: {androidx/media3/exoplayer, d19a035cb10edb198c5b852234815b90}
kotlin/reflect: {kotlin/reflect, 36dc465671c0bae046aa86aa256edb04}
