A: {A, 98291036cd0c7b076d405fdb980399df}
l1: {l1, 6bc0b56dd5720f5ccd3bd8969721ae9e}
androidx/datastore/preferences: {androidx/datastore/preferences, 91eb2d0d9275b4eb50ad60b1bf1b78f9}
i4: {i4, 1ceb0f43718c3c42a42b36debfbd99a9}
v2: {v2, 2e1b1544b1c4ca3cd0d1d96e463fe276}
H: {H, 0103debd2f6b3f8a0e1005e39b7f7a18}
Z0: {Z0, 09e72813f340ce5a78e0065849596b2f}
O0: {O0, 6194104900306fa0e5f137bd5ccda859}
l: {l, b02ac04fd22a0162426c0bb9c57c2c1f}
u4: {u4, 2dc1a962104382b16749698a8a1bfdd2}
g1: {g1, ebab867ee09c1530ab5a676d869ebf9a}
c0: {c0, a0cb44fbaa3f6a47a5636bbeb3bfc1ca}
K3: {K3, d76cb37108cc4d0513d239b3d027611d}
P4: {P4, 70fa4a2c208e302ed79620fd2aee322d}
o3: {o3, 28220afa4c67fa079671ec491f84125a}
t3: {t3, a886b782240c066a55d438902ff5c1c3}
androidx/core/graphics: {androidx/core/graphics, 8ecfe1490f0f5a53994d542161332b23}
P3: {P3, d855039934b88a632aa19df2f7c976e7}
h2: {h2, c0c5bf9ead129b044c3039a159d780eb}
u3: {u3, f36bdad455e8e79263f5a06340baecba}
Q3: {Q3, 53bef4eeb0498f55d5cbebd18b1ba736}
N4: {N4, 831bf490e7eacad0ede08fbd0b12defc}
z: {z, d089b80ffd882a9e204d4c5550169fb6}
s4: {s4, 3803a13a3464d78d71560aea39f6ebb1}
Y1: {Y1, ffc05036d3a012f610d40db9f49e7caa}
J0: {J0, 8fe48942c5bce75c40cf8b6c9529790c}
b3: {b3, ba1b69c45fe8044f3c3c0f71145543a2}
q2: {q2, 49f449b7f2854f3a0a6b2a67f5d69475}
e4: {e4, de8463056a1014c40df4e439965cb3f4}
Z: {Z, 91e25aabfeecd3f3290f88d978514621}
S4: {S4, 27c767b8740c9cd46704cb67c31ffd9a}
t: {t, 6a5b011f233edfb95a363aaad18851ef}
V1: {V1, 99980f66315bfd47650e6fef72f3e6ce}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
s: {s, ad427a3f12b548d4a31d3fa290599617}
W2: {W2, da9dced78777e22d68e6c0ab3cd6c1ba}
L1: {L1, 4df3c0e3e1584d3fc7187d00666d8b1a}
f2: {f2, dc08921b18b45c4a296093f3d9274c6a}
U0: {U0, b87b457b1bec0a434f92468808114f6c}
S: {S, 03a90eb8c775eb5049fc9cf89e23864f}
w5: {w5, aebf6eb2e52f29095f8e9d9c16dbc65d}
F2: {F2, 105c8b9e13ec14dc151092765f119c6d}
z4: {z4, 8086138030b63889d8c914926d6c6a46}
G1: {G1, dc311dba00c70799cd1b9fb119c77cfb}
C0: {C0, 59b16b3452105f757b219c75c39e2446}
p5: {p5, b2155d59e6cdcfe21b325937fa51bb9d}
d3: {d3, 3d993f8dce6417f065cbb3d158b883c7}
k2: {k2, 8d480e118e1348871fc7018725d12e0a}
m: {m, aa197a17bdbed0f8ce3022598fb21a88}
e3: {e3, 4bff5e60a28247da34c9c2d0a2bfa8c9}
Z4: {Z4, bde1b863e39010eb66b0567963e58e67}
D3: {D3, acd34a30a65aee5d0972dd7dd0871ec0}
m1: {m1, 8aebe3b82ede25887ceaef38d0624a92}
M: {M, 8fdfbab9a281a964a05c917f70b75a99}
x2: {x2, 6cc91c76e21df4b26a47d3646a18faee}
E3: {E3, 81a83641ba99972e6d78d4fded44bdfc}
a2: {a2, 8cbbafae2f1571423799ef0ebeae7a5e}
n0: {n0, d36c9b15568439bef22eb6d6e312ac01}
k5: {k5, b7cca6b1148d0406d515b9f2df4eab80}
B3: {B3, d5eeeaa5220416f8095ef9f82df5d7ea}
f: {f, 95b7cc6feb4faaf059a99c460809e771}
E4: {E4, a8a89581c091b34141ab735d6bb57759}
O4: {O4, 658a8a114c4b8fbf5004db0d2e4ef947}
j1: {j1, 3152131124f9b3009fbccbf4e2844c90}
T: {T, cc5d7beb5f02a60d96fabb9957d1cea6}
N0: {N0, 1f785c084366e3efa62498f7809eeff2}
F: {F, 5f44b265424570182c2f0eeec260b171}
g5: {g5, 736f89015d1829f4ae8effaa898178ed}
l5: {l5, 893d9739412a9aa8189b088810143d5d}
s0: {s0, de73a9e669fb77463f112b05bc22e3b5}
p: {p, 92e61921f9e965525572f5bdccb6579d}
J4: {J4, 18020cde455bc0a08c9ccb848d1c8cf2}
W1: {W1, a5633d3e4ac2c16a06301b09538c3b0c}
S0: {S0, 1b9f4282bb00db7a92ac43187aedd40e}
androidx/appcompat/widget: {androidx/appcompat/widget, 0c01316cb2d39e9c34130e68211ea717}
Y4: {Y4, 3fdcb0cb1deb1c9720531ce42b96042d}
t0: {t0, a5250aef1b9a5b5a6b419517ca0926ac}
P0: {P0, fb724fce058aad9f336109d1a8193276}
M1: {M1, 679ba8e22bc200b7e9e97b1b29c107e3}
r3: {r3, 90c8670ac4b10df2bc4b4fe353220492}
X2: {X2, c32fbb698e8952ad7291d1548491136d}
A2: {A2, 60a428c2303fb145274bec82d6fb8887}
V2: {V2, 0e99d9550945b6cee17e1437de4e0f19}
i: {i, 29d7f5cb76857cf07ff75353b6cdc98d}
p1: {p1, 6a8947bd76ae7a637682f7069d90762f}
R3: {R3, 425bc960fd41f5171784428a201d9d27}
U4: {U4, 3cb9af565e3dc68e7f8838ebf0c0bf26}
androidx/camera/core: {androidx/camera/core, 7116bf7c27e2c6fae072b90a03d7f95f}
T3: {T3, 4a29264b9cd1c263a63ed9176c8afc40}
H2: {H2, d262b292eee1fda15597b2e891577ccc}
U3: {U3, 4c77195d31417eb987b88e608732860a}
y0: {y0, 270e913e81bdb17be7f462f88dfb6dd2}
z1: {z1, bb9aa9b64a3f67724f81ebe15af1ea5a}
P: {P, 0c7d8b9dcda263b074a497dba06db302}
I4: {I4, 1b2d34d3ab9aa8a8d8d6e73db7d86c65}
j5: {j5, 519048b2d5e1dd3f74891677e10afd85}
d0: {d0, a10f9d976e18911b7281bfef56e692da}
b: {b, e4538f94e3a90bb3248e580ff52ec28f}
k1: {k1, 23d457dcdbe955d8e37cb61947ca7a20}
a5: {a5, 48362c7e5d1b8f4e16bf59e65c0b2703}
Z1: {Z1, 4369c06ff6172435ff133d1feef4951e}
l2: {l2, 8f4d5c16f6e87f0bebe7a394e606ba1c}
i3: {i3, d4fc9a130265091ddc521e3ba975a646}
D0: {D0, 1879b8a85237982421d5b689fbdd4f19}
B: {B, af3f4872081d12cb5ed332a632fd3a65}
m5: {m5, 72945cf125835e621fa96996707c160e}
j2: {j2, 287114295a70d4efd2b87a63ef86f502}
v3: {v3, b872fe9a4bd86fade8218b5c81984cac}
n5: {n5, 2919e58a64b86dc5fe91c6aa5af40fef}
I: {I, 96559b3edb7af44eb07a77749fb09b89}
z2: {z2, b9c66e2999a1b3827e2eaff9e2f0d330}
F3: {F3, 56ccad0d13495f7724c9971d2be3d996}
O3: {O3, 6cbe0033852defb30787a83764c46a73}
g0: {g0, 1a4ddd033bc6ecb85a4dd2c268870ae4}
o2: {o2, ab5d9ba5be843c6564b17812ee3119b0}
androidx/lifecycle: {androidx/lifecycle, f5cb2cd7abe213fb45731bf6cff7c44e}
K2: {K2, 8d28ced0bf94235fb679c192781dd3cb}
c3: {c3, c04f1af07a9f9798da3dc6d8db23a9b3}
h4: {h4, e11702fefd2336e23c05647da39d9715}
t4: {t4, 2f81882e0a5e46e1e87615f8cbe5e278}
u2: {u2, 0a4022ac68ccb0f41729d7559684acea}
h3: {h3, 0807d809993ef9e268de7877b5dc920a}
Y0: {Y0, 8240c613df8cec95eef09f69871377f0}
q1: {q1, 08831464040d2396396fad45951d1025}
I3: {I3, 095de7d5276629b5299d8d32c9ccad77}
b0: {b0, fa49843de81cbb824ef5dde546f17d8e}
J1: {J1, 41272a1472ca57cf2a8f40287a36581d}
u: {u, 6b939f0e12192aec12eb718b536e45be}
f3: {f3, 79a06dc823965562d0cc113d82788a82}
L2: {L2, 7faef07da424847c8d54599ce9829d8e}
w4: {w4, 2b6470c1e83c8ad3e773704ac0e61182}
I0: {I0, 2d5c15aadfe90d15a67a6db0f5585ac1}
androidx/appcompat/view: {androidx/appcompat/view, d00c96e5d7573c9fa78266f0108a4859}
androidx/compose/material3: {androidx/compose/material3, f770e0af11c987ee68be48b5e84c901f}
G0: {G0, 25502df9920b03a25794a6675d0ec897}
n: {n, 1dca4a0bfccf12a0e02081518b7236d7}
d4: {d4, 47df596c9a0e2d165156744aedf73063}
e2: {e2, cbe49dbaba2e8faa2bcafb07d9459bc8}
