p2: {p2, 76919487bdafa38921ce24cb19aef178}
A: {A, 42f43a7ec03d3ea45f80dadc8396626a}
org/pwsafe/lib: {org/pwsafe/lib, eea39fd2939f2343f7151dd7f0b38df7}
j: {j, c690bd16b2b027bc8cd9a0426699c8f9}
c1: {c1, b5570928b36a6aef0a750fcf5936224f}
c3: {c3, bc39d9acf86ed61dbe332aa3a625a3c8}
H2: {H2, 8e1e3878eca2200182cde79390a0f5a0}
androidx/activity: {androidx/activity, d3603edd9b04fcb1a2ea3c29a53d6791}
androidx/core/graphics: {androidx/core/graphics, 667101cfccc483b4c772db02db95fea8}
l1: {l1, e3c0a425ec2c47b67599a8ff5554c565}
androidx/preference: {androidx/preference, 68daad461a272e6d0824fbc6726b43ba}
J2: {J2, d2d196bd9d9904d31960025380caab1d}
androidx/core/hardware: {androidx/core/hardware, 69d608115c05e547c1c684d44722cb8a}
o0: {o0, 8999b9b566328ec95c6f990b720a69a9}
K0: {K0, 818a67232f635c52dceed7aa485352c1}
R0: {R0, 6bdc5da333c7f594cd691fc7b1e3468a}
y0: {y0, 16fab3b232b6a917be504eab1b74025a}
P2: {P2, 4e3104e705da68e45d81dca581ab145d}
com/google/android: {com/google/android, f38184bb302218b61a1c0d4633fc44b6}
Y: {Y, 636ca36ce0e6a4913cab7650ad99c273}
Y2: {Y2, 389ceeae921da9b703c955ac62e4ed0a}
com/mikepenz/devicon_typeface_library: {com/mikepenz/devicon_typeface_library, 6e005e3bbe91b9bd867214365d93af69}
v2: {v2, 0f432e4432a6b2262b0e9e08c75dd489}
H: {H, e57450f476f1ea428bbe34b7920ed713}
z1: {z1, a050e03540d6891d984e8ec70b40d4ce}
t2: {t2, 86226d2df17f879378ae2e700b0f73d0}
P: {P, cf5d8e07cd91b3358de722377ebbf880}
r1: {r1, 155010d7c42ce49cba5bb618819848b2}
androidx/core/provider: {androidx/core/provider, 44e115a3cdcf10e6b01a4be60047fba7}
Z0: {Z0, acf7ef943fdeb3cbfed8dd0d8f584731}
A0: {A0, 30c961027c37a20319a67f0434073fed}
O0: {O0, e20e08da3fef0870a19f35c6d87ffa26}
I2: {I2, bb2d105731276dc001fb0f1436f94b42}
d0: {d0, 27ccea35f894e8e5c8daa5c552a60617}
b: {b, f9dcc26f590410bf3fcb87227ae1e108}
k1: {k1, 091619d4d046c7cbb1aa07ceb7da341e}
k: {k, ddb90193d50bfefe68625f61824336ba}
g1: {g1, 32b8a0d968ee9a8d8420aab25e73d88e}
c0: {c0, b374ab0e2efbf31aefe6881a5b95b222}
androidx/core/os: {androidx/core/os, 579470655f34ad9e262779a0f9c43a1a}
p3: {p3, 60d43bedb779e07f4587c373a9c1291b}
U2: {U2, 2095939e92edc115e3a39976a4f4879a}
Z1: {Z1, f97539fdc44e9f9300584ff512eb2b06}
b2: {b2, ae5ec8fd2634aae071c58a138fa9c6a6}
q3: {q3, a4290d4e2eaff2261542d638cfec8295}
R1: {R1, 885a09fc27f0adb8fcb154cf35d14ec6}
androidx/cardview/widget: {androidx/cardview/widget, 3c2ddab5a8a1aaca12ec4c53484d5bc6}
l2: {l2, 30ad76c52a625e2464bb261d4c6e3ab5}
i3: {i3, 75fce8de158f534d75c11c7d70625b0b}
V0: {V0, 8c53167852c5005c24a01c650653fb88}
D0: {D0, 606527d223970dcf6bb28b8b9e676e33}
o3: {o3, fa91e6e8cfb776f1cc1c3042e806188a}
B: {B, 4d1eb66b01a72e05322e3b283313de86}
androidx/savedstate: {androidx/savedstate, 75db2641964586f56b93584a94811bf3}
t3: {t3, 08b70c9d29f1a59872fc09bd5c53bdd8}
j2: {j2, a82eba5eae39ef9258b79f0511c86765}
v3: {v3, ffab0333a6be4b43e2bba447abbbe185}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 529db0e2b9815c6fe024392e9eec71bf}
h2: {h2, de63d2a5be9e49d6768f89c3719342c6}
u3: {u3, 0afbfc475a4a2c9f621067ffad0d614c}
r: {r, 0417f52d1ef0312dd13f9b89670314d3}
androidx/startup: {androidx/startup, f4881ec380173c76e5b5274b3cd3fb52}
Q: {Q, 7795038587c0eaa5ec81044ea9c35edd}
w3: {w3, 46ffba22f5910313728e54a5a09e4774}
z: {z, 7b152ee34de6097e99207c6e33792a0f}
d1: {d1, 40bee23c585b3e395f068a2eeda038de}
Y1: {Y1, cc83ea9ca7225f3fb0c4389c56327d3f}
androidx/loader/app: {androidx/loader/app, a3620a1e453028f1d3662ebb6b5da14f}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
I: {I, deac6aa626912eeb248e12eb60584546}
J0: {J0, 8baadd057deb36faad2996a8a34d91fe}
x0: {x0, 6a8066804aead15e0acc0534f7c8b723}
b3: {b3, 777c01996f352acf6d4577191c1f60e5}
androidx/room: {androidx/room, dfce2cfff171b092c82784b8b54471a5}
w2: {w2, d9a0f5e1e2c3f20c87465181651cd079}
q2: {q2, 2541197faf704798b466cb28ee1b3824}
U1: {U1, 1752bc48f964e0b93516d0dcf03f2fab}
R: {R, 570dfe5c686c9a2bd944668c8ba592a9}
androidx/core/widget: {androidx/core/widget, 0034d0ff4f82f88c7066f73cae650006}
X: {X, e658bbd1fb7c454226ef8f0be38b60fe}
o2: {o2, c599aa42f3db84c9f22f492a821b7baa}
m3: {m3, 2832ddae329fbc3b4dc929afc7bfd18e}
i2: {i2, 49aa9a1e41cd892395722e24e0ce989c}
S2: {S2, 68bc7dc4a9266c5ea8904170cb7c0403}
K2: {K2, b8696fa4b54d47b929e00814ec2157f0}
D1: {D1, 0f7d5ef011550977236c3567f4fed7ce}
C: {C, 7e5b266e90626655f6f7e66981ef4d78}
t: {t, 3fb0063317cd72fd63b73d3fdc3b9247}
g2: {g2, 3283aa0528117c824670fda89d0d0db9}
V1: {V1, e9584da776e5c4275028ecd9fa177a8e}
