androidx/appcompat: {androidx/appcompat, 0123417a012c7f6fd14217b777ece8c1}
com/esotericsoftware/kryo: {com/esotericsoftware/kryo, d464f2378055b6cea2d8948ad86e9119}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
androidx/activity: {androidx/activity, 09ea98eab619cf3521b8f9530886607f}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
androidx/preference: {androidx/preference, 3923638056a02f9c2a54736b62cb6c5b}
com/facebook/fresco: {[com/facebook/common, com/facebook/fresco, com/facebook/cache, com/facebook/imageformat, com/facebook/imageutils, com/facebook/datasource, com/facebook/binaryresource, com/facebook/imagepipeline, ], 3a6ff4358c4a50e226aec9444b973143}
androidx/vectordrawable: {androidx/vectordrawable, 0bec9c2f4bf3315f2d1fcacbe22fb6a6}
com/google/android: {com/google/android, 329618879c938794d2c321460f645954}
org/objenesis/instantiator: {org/objenesis/instantiator, f4cfdb4ff698c2cbb076199708846ba2}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 043403dd081adb3576e5362442d948ad}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 1b94a8a1bb313b7e779c92fb8abfd2c0}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 434a5d6d39951fe162a9394638fcf726}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
com/jude/swipbackhelper: {com/jude/swipbackhelper, 098c9107b8bb66fa19b1ffc7b714fbb7}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, ], 6c1198b7e4a9f19d36d84534c903ffe6}
androidx/emoji2: {androidx/emoji2, 45b78b489d4b7de4e75ce86674ee5e70}
com/facebook/fbcore: {com/facebook/fbcore, 0db390eeeb150a4b7e83ec8056f6ee13}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/esotericsoftware/minlog: {com/esotericsoftware/minlog, 111ac0d30f712db3e02ed000a71f5d73}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
