com/google/example: {com/google/example, 0df659231ecd1644aa4e7166c742a7f7}
android/support/fragment: {android/support/fragment, 0db390eeeb150a4b7e83ec8056f6ee13}
android/support/annotation: {android/support/annotation, a7700a1f1325ab816fd3642a22787c6f}
android/support/multidex: {android/support/multidex, 112fb19b2ae50e9165b486fa4e2be754}
com/mikepenz/aboutlibraries: {[com/mikepenz/aboutlibraries, com/mikepenz/fastadapter, ], 949558628fcaf68811a4fa7f18fd03c3}
android/support/coreui: {android/support/coreui, 0db390eeeb150a4b7e83ec8056f6ee13}
com/google/protobuf: {com/google/protobuf, b3480891bc6109e5821331d956e02147}
com/nbdeg/unityplanner: {com/nbdeg/unityplanner, 4bb9a267d0662a77e0ab31162f26fd2a}
android/support/transition: {android/support/transition, fd1b847fb58bb5e2d34b9fb1394de699}
com/facebook: {com/facebook, be0f801ee5ee2b3916c4cedaea5dd736}
android/support/constraint: {android/support/constraint, 53c7a6611269cb7d52646808fa5c4fef}
javax/annotation: {javax/annotation, d0235602ffb83204f31178d82cc1c0d8}
bolts: {bolts, 0c93f7d3e7ae9db6312948088a921ccb}
android/support/v7: {android/support/v7, bbcd6c4ca61be3df64923ea91a5510b9}
android/support/compat: {android/support/compat, 0db390eeeb150a4b7e83ec8056f6ee13}
com/fasterxml/jackson: {com/fasterxml/jackson, 40f0a7301656f41c203b8387a87e3d85}
com/google/thirdparty: {com/google/thirdparty, 86fa68a9744e24889e8f449259472733}
android/support/coreutils: {android/support/coreutils, 0db390eeeb150a4b7e83ec8056f6ee13}
com/google/firebase: {[com/google/firebase, com/google/android, com/google/api, ], a4c2c845c13c8df99da58b9bdf6a10ec}
com/mikepenz/iconics: {com/mikepenz/iconics, 15e1486d9f8fdf1a3ad9c4cecc9a9626}
android/support/graphics: {android/support/graphics, 754399649dfc90a71cd6c61e54955595}
com/google/common: {com/google/common, 5f8bfd857515a3224c9631dca7a93d89}
com/firebase/ui: {com/firebase/ui, 2aaa3736a1ca38da1eccf80fd2e62aeb}
android/support/customtabs: {android/support/customtabs, 83f7f3ac116d373527f21510de8b7d35}
android/support/design: {android/support/design, 8bd474108f684c00325cc0697b88bd26}
pub/devrel/easypermissions: {pub/devrel/easypermissions, acf7ef943fdeb3cbfed8dd0d8f584731}
eltos/simpledialogfragment: {eltos/simpledialogfragment, 3f1f02612b32ceb5ef4a95e0541c7b88}
android/support/mediacompat: {android/support/mediacompat, 0db390eeeb150a4b7e83ec8056f6ee13}
com/squareup/picasso: {com/squareup/picasso, 4b328f23da771f85340c12d87a6bf443}
