com/github/brnunes: {com/github/brnunes, 34d5ef244516a70b480220753def303b}
org/joda/time: {org/joda/time, e8d7fb29552454a523960e2d91cb0f2a}
retrofit/mime: {retrofit/mime, b118da15ee7f6b3f8cf1a31585d0370b}
com/unnamed/b: {com/unnamed/b, 3e5c7d0afc7bcf8ed77d43d22b4fa461}
me/dm7/barcodescanner: {me/dm7/barcodescanner, 5c383bafab5554ceb50fc8e666f29880}
butterknife: {butterknife, f9e10ad9f327b26b799c7d41e931416b}
retrofit/converter: {retrofit/converter, 22c5ae906d1a55da7846742857e81867}
de/greenrobot/event: {de/greenrobot/event, 94eba624432eb32b5750b7e900875e0d}
com/nineoldandroids/view: {com/nineoldandroids/view, 7f2c8607365a9206fb72c42221adc9c9}
android/support/annotation: {android/support/annotation, b0adb10c115d59b33d39026729be4fc6}
com/j256/ormlite: {com/j256/ormlite, 47f55a5629b196b7be219dc0322b63f4}
retrofit: {retrofit, 9d39df65e4124dc18c90366a507a0d02}
com/google/android: {com/google/android, 3227eface43983767d2551baa513e054}
retrofit/appengine: {retrofit/appengine, 95ecc8566a606cf83f26f6894363a664}
com/google/gson: {com/google/gson, 957b9ca9064226164ac2f18d75b7d117}
com/google/zxing: {com/google/zxing, 6cd94c12a8986961b5c9e1474dc95fd3}
retrofit/android: {retrofit/android, f32835a91fc30464378ed59b8193b62d}
javax/persistence: {javax/persistence, d4fa7c73d2c202dc8443a738109268a2}
de/fau/cs: {de/fau/cs, d63a1084d5813bbb4cddca9aca90aff1}
retrofit/http: {retrofit/http, f92301e57a7a12e3509f4786ff2e8f09}
dagger: {dagger, 178a3f8fad8bc2adb663c9ca1cdaf1a4}
com/sothree/slidinguppanel: {com/sothree/slidinguppanel, 90fabd592f11e99e0174883debf48d05}
android/support/v7: {android/support/v7, 227c3dd9babd9e942536d1d102e313e1}
xyz/danoz/recyclerviewfastscroller: {xyz/danoz/recyclerviewfastscroller, f68ca5d5d4140c102ec20e3804f9c183}
butterknife/internal: {butterknife/internal, fca6de7dd86c0b0b223af346760fa32f}
com/fasterxml/jackson: {com/fasterxml/jackson, 04de5e15f7b796959aded578b7f2b794}
dagger/internal: {dagger/internal, 939e2bb2b823a9b0fac2303aa2df1122}
com/github/machinarius: {com/github/machinarius, 9fdf5ea51dde98fca27bf79b0f4313b1}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, 10969758e7d3ffea58f3db9f8f97b201}
android/support/design: {android/support/design, f6671d6f2a9adbba08e1005de15096b1}
com/pedrogomez/renderers: {com/pedrogomez/renderers, 8c07823e72a4b6e3ec43a529b6bc5e22}
com/nineoldandroids/animation: {[com/nineoldandroids/util, com/nineoldandroids/animation, ], 0bfb5a173abce59c317426b9fbcb18a7}
net/spaceapi: {net/spaceapi, 296ccd89bea735842e8409d6ae706892}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], be01c434145bdb1ed31620d301247d32}
retrofit/client: {retrofit/client, 49ad8342a893c9f92e3f527c12fbee08}
okio: {okio, ef39728b9a0e8ab8d0b4e745f8520536}
com/github/clans: {com/github/clans, 1187c64ff4e76ddc3086257572553a3a}
