androidx/appcompat: {androidx/appcompat, e35813db56f5a7d1e30d220e36a812b1}
kotlin/collections: {kotlin/collections, 03c45e65400bcc27cee664ac3e00f6c1}
kotlin: {kotlin, d384cbd69701eb954f919bad9f10dc65}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
me/saket/bettermovementmethod: {me/saket/bettermovementmethod, c78151ae166e36e9d8e09ebc402afb10}
kotlin/internal: {kotlin/internal, d2696755dd6f7fa923934ef5cd8a0643}
androidx/activity: {androidx/activity, bf8067840a48b4e1876e4dcbc66310fc}
kotlin/sequences: {kotlin/sequences, 1cee88acd1f62af330177baef97ee7a0}
androidx/core: {androidx/core, 48a77afc897244dfbe7e69847ea57e2b}
androidx/preference: {androidx/preference, b7171744a7035a05dacb697c5a87c476}
androidx/customview/widget: {androidx/customview/widget, f914bcdac817443ce62b26ce446763e1}
org/ligi/snackengage: {org/ligi/snackengage, 79b189879da14997df2ec9d3bdc667c8}
androidx/lifecycle: {androidx/lifecycle, f0e1ea87a15d6f835de2f0b0748da5e9}
androidx/fragment: {androidx/fragment, a06a65a9813620c782f749dfb143605e}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 0b9949568eda4141c1e85bad3e2b98b3}
kotlin/reflect: {kotlin/reflect, 9c6c0b66d6c47154da14ad4cd741c190}
kotlin/coroutines: {kotlin/coroutines, 858c1cdb121da5ab9e0c37da5416ea4d}
kotlin/math: {kotlin/math, 7b51c8acaa214e18dff164edf18ac63b}
kotlin/text: {kotlin/text, 15e684cb0f9cc9ef332b629454132a0f}
androidx/window/layout: {androidx/window/layout, 09308c253e11e6ed2d429a6fb1c4580d}
nerd/tuxmobil/fahrplan: {nerd/tuxmobil/fahrplan, 41a84b39abe824158fcf42b13ef5c95f}
androidx/versionedparcelable: {androidx/versionedparcelable, a30de75d6f97dba1417a468bb6610693}
okhttp3: {okhttp3, fdfc251cb94fed61af0ac3f15e719c39}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 3df0bf49fe0f42dc2f69b7c484693258}
androidx/constraintlayout/core: {androidx/constraintlayout/core, c902ab5baadd551ece983a702d896d75}
androidx/coordinatorlayout: {androidx/coordinatorlayout, b0f8de8f60a2c25764321b01ee38854d}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 4d175f651c278a16290ab3fe34e33ebb}
androidx/collection: {androidx/collection, bfa303a1e1b6002144a6599b5b7602d4}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 5f613af957a001d58f7eb186938ceaab}
androidx/transition: {androidx/transition, 16d398541eaf6ff94669cb030420b02e}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/interpolator/view: {androidx/interpolator/view, ee54aef26025686b20793115ba6db979}
androidx/multidex: {androidx/multidex, 54732f0dba13d674376c6b8ec98751ca}
androidx/cardview: {androidx/cardview, 21edef9f55c8bb7c347b50fb17b40db8}
androidx/drawerlayout: {androidx/drawerlayout, f73965334893c08bd1be266f0147784a}
org/ligi/tracedroid: {org/ligi/tracedroid, 60f7883ae22faffe260821306b8d1fcb}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 64ba2d2e45c715846acb77324b5e4db0}
de/cketti/mailto: {de/cketti/mailto, e82cde343a2505d35221f3ff1cffade6}
kotlinx/coroutines: {kotlinx/coroutines, f855106d6c6c4034886e8556fa35c72a}
okio/internal: {okio/internal, d1a2bc8765588aad23751c2c0366e76b}
androidx/viewpager/widget: {androidx/viewpager/widget, 4768a4b829cc9ac33ae06843cba65733}
info/metadude/kotlin: {info/metadude/kotlin, c055dbd0c542b6b176cbaf6596b3a25e}
com/squareup/moshi: {com/squareup/moshi, cb1017b66b5538510c94d8992d97a3a8}
com/google/android: {com/google/android, 187524e7d548722d0a17380f8bc136f3}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, e56feb7d90935ceb54bf30b5f27b79b8}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 37bf0f7164ad38b4934dcb1683370ebc}
androidx/arch/core: {androidx/arch/core, 92a5852557253faa19935df987144914}
androidx/emoji2/text: {androidx/emoji2/text, 1aa1319d97704b0f3244c7cf7e98e954}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, ad50552557420ab8fb5bcbac0aafd87d}
androidx/viewpager2: {androidx/viewpager2, aeb4c4c2bb0e5c3685d85ded19c8a9d5}
androidx/legacy/content: {androidx/legacy/content, afc26ca326b4075d07bfd31afbca758d}
androidx/savedstate: {androidx/savedstate, b514f181a8627d046c247a1209cb2e98}
okhttp3/internal: {okhttp3/internal, 303751c850e9dd6afdee293c6d84754f}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 45b0310f726e0ccf0ecd5c7d05a23403}
org/commonmark: {org/commonmark, d6c998069b4720e4bd86d26d8983a01b}
