androidx/appcompat: {androidx/appcompat, 9f6e079cebc4cdf2264d5f14162d6843}
j: {j, cbc568049d9f2fd49e607ce54f6669b5}
d: {d, e9e10b599e8eff75d9b21ddcbfca1ac5}
androidx/activity: {androidx/activity, ff611555894e0a65ccd2f14123ea7741}
kotlin/sequences: {kotlin/sequences, 52bd92c77771923442d55b77b10f04a6}
com/mikepenz/fontawesome_typeface_library: {com/mikepenz/fontawesome_typeface_library, d0bd603cd87d56de1bf597527e7ecad7}
o0: {o0, b45affd77c17202bfebc32d096c57939}
timber/log: {timber/log, 289abee344d22dbff1ea72e43ef5b735}
com/google/android: {com/google/android, 0d639ca848b33d3dc070b73e296ac371}
eu/davidea/flexibleadapter: {[eu/davidea/fastscroller, eu/davidea/viewholders, eu/davidea/flexibleadapter, ], bff4fe931b213e668c6d602522095e3d}
com/beloo/widget: {com/beloo/widget, 98308efcda7810c34ef13bf0556134b0}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 06a65d11493d23c185f23a279079c261}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, c040cfdbe0e5efa4f928d497aefaf93a}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
kotlin/random: {kotlin/random, bece6cd042ef8d192129475a6bd312c0}
kotlin/internal: {kotlin/internal, 21e5886cf14bbf62b22f1e675244edfa}
y: {y, 720377b66769698f616e831a2e26e9a5}
androidx/cardview: {androidx/cardview, f2e137920e85bf9dfc196f02c6f951f9}
b: {b, e1db1b989151a2d136fbbed8c21cee96}
k: {k, 610e4ca90cdd8d6069f8cb0e57ab2d11}
c0: {c0, bb28c995317245c3750aa120e3c3d665}
org/bouncycastle/internal: {[org/bouncycastle/asn1, org/bouncycastle/util, org/bouncycastle/internal, org/bouncycastle/math, org/bouncycastle/crypto, ], 751af16d9801b226ce09a58f14d22e55}
de/cotech/sweetspot: {de/cotech/sweetspot, 939274e8f3fb93f1c090c1fb9a652240}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
com/mikepenz/google_material_typeface_library: {com/mikepenz/google_material_typeface_library, 6b226a132479931c5213cfd4d806ade9}
androidx/savedstate: {androidx/savedstate, de100c8c95b9dec518a9d4b618de35e5}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, b469e96f739a5f17ba463ed908149778}
kotlinx/coroutines: {kotlinx/coroutines, 2fcb7a754f5e6555a64d50fb0321d79b}
nordpol/android: {nordpol/android, 6006a30623a79fabd347845af5be3160}
androidx/startup: {androidx/startup, 301c7463362e3c3e1de60b1f770b9cc0}
z: {z, 75cfbfee7e4c757c494137d586809a6c}
c: {c, 2edd5ec6ad2185675089edf8ede69ac9}
com/squareup/sqldelight: {com/squareup/sqldelight, c058812b2fd44b2f27b91acc27b40f16}
k0: {k0, 2953cfa172d679fef391225935869c07}
androidx/databinding: {androidx/databinding, efebb732b40b0f88971b990f7154521f}
androidx/loader/app: {androidx/loader/app, 8a1bff9659ea6db05daa451eb957ab90}
g0: {g0, 5964953d6dda891a5bb1edb225112639}
com/nispok/snackbar: {com/nispok/snackbar, 0430186a09ed67b2235e9813353beacb}
androidx/room: {androidx/room, da2be33907b2dab4efa4fa7db6e52806}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, ], a18554521d62c704e7c849d8ed6a1b96}
androidx/sqlite/util: {androidx/sqlite/util, 3d28342940cce4d8f48a3d5c90deded9}
androidx/sqlite/db: {androidx/sqlite/db, 96454f18ca2171405c6adee7a39adc01}
