a6: {a6, d7453c57354d1de2473416843a607030}
p2: {p2, b05f1f4eec865f58c0cbe3842035231a}
androidx/compose/foundation: {androidx/compose/foundation, 2586b1149620fa0ff4f1c0218b086335}
d8: {d8, 806274318531430e1093671e4bcb8e6a}
j: {j, 254593a85d46ab0038e7138b32487203}
c1: {c1, 99638544b161ce5f94bedbc75c593ac7}
l9: {l9, 8dd0a5e6a72d74af1176c930d64ca046}
d: {d, 7acc25561c2375bfb915ad1bef1f211d}
q4: {q4, c2999df7490c49ca48d5f79041535bda}
x6: {x6, e9e12f3484aa06215b44c9603a0108b6}
info/plateaukao/einkbro: {info/plateaukao/einkbro, e7513443c8506fd014caf9f84be04687}
l1: {l1, a1b2cefe10c75c39ecc2d167cf783f41}
i4: {i4, dce0b596601dc8d929719428f59faea6}
androidx/core/widget: {androidx/core/widget, 150dfc185dc32dd9392b5a3d045f9eeb}
k8: {k8, 3eea3784dced723b8e0212cd58d4ebda}
g6: {g6, 0560eab41f940932a21b6e3563b1726a}
o0: {o0, 4d0c8777737e7e870b381b1bb64db23a}
r9: {r9, 2347b2542d2555d3d02d9c23e8581dab}
b5: {b5, 5bf5cc4bbad4448b13a9e3f369f0e620}
com/google/android: {com/google/android, c0336f1e7015111e18cf6c4d134e22cb}
o9: {o9, 12a83e570f29ca3a6b90d0ff91ea70f3}
v2: {v2, f813a080a738546af6432d0b90fcd234}
w8: {w8, 02329cd51f8b09799742da1857aa9880}
z1: {z1, 60d5354ab0e2adc16db3ea95fadc92e2}
m6: {m6, ddd77815cfa8ede39553ca89f836445a}
t2: {t2, f31f05e51cbc4b3d45f1dbf81f6a5568}
w0: {w0, 3c3ba8807bbcfe9c621ffe8e3f31e8fc}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, f848cec18c5d65a7bb23695e7e364b55}
r1: {r1, 98e5d463c3d6cb2bfa1007cc13857d68}
e6: {e6, 59f0bd76b71b96845b09f95d56d302dc}
x: {x, 6e0d23c3b2435eaffb1b26b4e34d8508}
j5: {j5, fbc6b330cfe054b2182676cee05348e8}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
l: {l, 0c640dd4114bc5e7981ec9a89b59fd1d}
androidx/appcompat/widget: {androidx/appcompat/widget, 04bc0c1113276248ba588dbc633d9c1f}
y: {y, 0d45a66bc7ef2530d8adad5793978f37}
h9: {h9, 822366a7268b8ad3b941d7bc4ed2290c}
f4: {f4, 6d75c1c9a950378beeeb970ad77a1cfc}
b: {b, 71b093ae5bcfde9a04117a6bb831dd07}
k1: {k1, 9d0b9911cfa015efe6d17855e67e0ee7}
d9: {d9, a77241466f93b2c389986d0462a611db}
k: {k, 33a01834f18481d42170bfd42b645778}
x7: {x7, 7823fd7ecc472d4f5d2ec8e328ede397}
g1: {g1, 4a0e9cdbac1bbfca13a87a7693358ecc}
c0: {c0, cc7d19c326d1b7f0fb68991b183448e7}
a5: {a5, 5ba180a92a4c626eebf0b6a759928525}
p3: {p3, dcb24e5ca725611183db88de8e192291}
e5: {e5, ded34e7429b9e249a04e1a5a5152b80e}
org/chromium/support_lib_boundary: {org/chromium/support_lib_boundary, b469bb3a8c4e2c8685cd1774e257dcf2}
b2: {b2, e43443e7382d7d8744c9675e9dff3de5}
q3: {q3, ad60338834d56411c6db3bc3550f5355}
d6: {d6, b77328d16e3f207c1b164950ec2eee1f}
l2: {l2, 403cbcfef7f310c59e5ac351ec57bc29}
i3: {i3, e1286090ec29bd9d2b8df64925f5d3f7}
androidx/core/graphics: {androidx/core/graphics, 6c474218976ab8157a4d3fabb6152824}
o3: {o3, 4a613816c555f48b2d84ba5442889260}
o8: {o8, fd550032a19a86c23b10bff878103ec4}
m5: {m5, 614612c500ca1433e5a5de3e6b27ef24}
t3: {t3, 9ba0fea0b44d76171618251d1bd4f9f9}
j2: {j2, d09f393fefc0d3d1f383924479c1f27a}
v3: {v3, 02aaa5242909e1371b837e49ace59b57}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 23fc433b193fbc061a4761a1408f79cc}
y8: {y8, c537c1f1f94b3307610d33897d324ed5}
h2: {h2, 54bb702861150084791fadee32a8fc93}
n5: {n5, 9d2e32e825ca4f594ed30c27f86762a5}
u3: {u3, 5ddedf48f8c86ac9ec8e17405f5bdbb7}
r: {r, bb00a8a53ca340aeadf15fcea8436687}
z6: {z6, 811d32fc05f0e38af83f54970858b363}
f5: {f5, 59eb64363126d652718a3a6243acaf57}
androidx/appcompat/view: {androidx/appcompat/view, 421f67820fa8a5b6fbf3ed2ab0b9f754}
w3: {w3, 74281e3ed2ff8eaa4f6683fe32e51678}
z: {z, bf4e9246a32b0fdb5bb21bd801589c5f}
r6: {r6, 5b60f17d32897547cc7c670109d8b619}
d1: {d1, 62cf53887f347def4c2b61d0e01a03b0}
c: {c, f425738cd0c2ef10021b875c809920ac}
k0: {k0, 4fe0e4120f24459bdd79e8888ad15b2c}
b9: {b9, 82f48aa87f22d1955d0fb517ed8ad61f}
g0: {g0, 5c4a1a026271cadbddcb3567045e70d4}
v8: {v8, 61a1016920469515d88aac687b5b2c5f}
x0: {x0, 4ecda9de3cffaac9db07b41296c48358}
b3: {b3, 093b202f6bc1e387baaaf09c7562863a}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, 21ceffea93bba406b1e8bfa0943be997}
androidx/profileinstaller: {androidx/profileinstaller, bd8ecdc0f4903f6179120178f3e6743d}
e4: {e4, 24d6c0b9aa77b329a8505846969b6799}
o2: {o2, eb80abd8458ed387323bc0b11347d7c6}
m3: {m3, 5e5d14f7695d1cea238adfe677d233d5}
i2: {i2, 92ece4cf3d91b93730f0188287717ae4}
androidx/lifecycle: {androidx/lifecycle, cca31b679ecb89559adf2be13e45cdb6}
c3: {c3, 8935fd828e322b29aa713c65dce86a80}
a4: {a4, 0f8f7c7a078d759b24b09d6263e42100}
h4: {h4, e28c2e62461af7d25087c019359f4de6}
t: {t, f0bd2a3e3752e602928486688e064b19}
j8: {j8, 1008e60d5f9b7013ec297d1e2581e5ad}
j3: {j3, 0fa07c34ff2741cbda6e1c08737bc0bd}
m4: {m4, d4ca6a0a065d7d3f3316b2fd45d53f8a}
t4: {t4, e01c7db87307faf7f6ec42c5d4603564}
u2: {u2, c38b64092bcbb4de43842ac9807833c2}
s: {s, 67ae7bcce7ec510aabf79f2c3b4f1bcd}
c8: {c8, a5c4efacabb257033d144ff6dde74fa8}
androidx/startup: {androidx/startup, 775f9a78c2ce88ce8f1a6aa47274f9f9}
h3: {h3, bd6ccbfc6aad06640532780815da1455}
k3: {k3, 6e18308684f2314296b5ecaa18a2be7a}
p4: {p4, 94e139c59306995fb74ce31633829aa9}
r7: {r7, 86f18468c8237946080b8c8426e8e994}
y0: {y0, b0bc079e33cbef42a6a75ccac621849a}
f2: {f2, c421d0ba6a4582ae3df85e5e2492d4e4}
g8: {g8, 925dc54ffdde8340cb37415acd5b463f}
v0: {v0, 2d332166a0a6bdddaba34620cd3a82d1}
d2: {d2, 9d96929ecd55481469c9cf82fc8f1971}
q1: {q1, 9c61a71b1a1257b949b246e333f61ea7}
i: {i, 80a6b5da228052d34abf32c7e67da8d2}
x1: {x1, 3dca806291c394b0abd720cdde1750e2}
g3: {g3, d22e906f421cab5d2c18cd8918649117}
