androidx/appcompat: {androidx/appcompat, e4979fdc81de173da9f3ed9475e426f5}
kotlin/collections: {kotlin/collections, 7cf9f7bb857a883f3bd9a7f7092b3b83}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin: {kotlin, 3e0fbd08b9cc9201797349ae481d79ed}
kotlin/io: {kotlin/io, 539a8e192d5b75d0546a84520c7e1661}
androidx/room: {androidx/room, 6e2897bad7c8b305c2fe6daf9f3db8b8}
androidx/activity: {androidx/activity, 8f1be01a18d4eb68e2ff1408c6ad9e3f}
kotlin/contracts: {kotlin/contracts, 9fd3b4e8fa5f4d904edc67b3ae889ff5}
com/timenotclocks/bookcase: {com/timenotclocks/bookcase, bbdcc8982e78d135ee59e88b3128f190}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 7d17bf0f3eb5d594fcaff8a8f6b459ba}
androidx/preference: {androidx/preference, 6f7258ee46150d0bbe13e53b1cc868b9}
androidx/sqlite/db: {androidx/sqlite/db, ea99d0122b90284ae8805e753332cc68}
androidx/lifecycle: {androidx/lifecycle, 932c952e605f67b3fe00fc8a618d5a18}
androidx/fragment: {androidx/fragment, c9c8b420ee90dbe448bcbe1a7d68830b}
androidx/concurrent/futures: {androidx/concurrent/futures, 033b623717b40dc9971a88f0533c308c}
androidx/navigation: {androidx/navigation, da7de2b166af97583328582dd43d8647}
androidx/loader: {androidx/loader, 8838ed1fd8c8734e0ff2071d9b333fb6}
com/android/volley: {com/android/volley, 9b8882a17646ee290e4def19474fd3c6}
androidx/vectordrawable: {androidx/vectordrawable, 96eab83407b23b4fbf9dc6571efe2fa5}
com/github/doyaaaaaken: {com/github/doyaaaaaken, c7d28cb74190ae2843141f8115d200bb}
kotlin/reflect: {kotlin/reflect, 1f214b284d75633a923cd9e1fe7ae6ff}
kotlin/coroutines: {kotlin/coroutines, d48a2085a826e53d04bfb2e5d06156d5}
kotlin/math: {kotlin/math, b78b16fdfb16a7663d1d19e78eff6f74}
androidx/interpolator: {androidx/interpolator, 0c69a79d8fafa699f045df9a3a7a429c}
androidx/versionedparcelable: {androidx/versionedparcelable, 2ecdf8f2a464c7ce872c3ea5e6c14568}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 7c219afb18829dd8487e66a239b66a21}
androidx/core: {androidx/core, a8a5f5ce877bc1ea3a6cf468d95fccf1}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 903b016d6f17887f6597f50316c11f41}
androidx/collection: {androidx/collection, 95fb5d8f847cb833a4ade0b17840c8cb}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 97ba16dc797e023b669a4a7e276cf3aa}
androidx/transition: {androidx/transition, c83b984f9236aadd128aeeb260d702c1}
kotlin/reflect/full: {[kotlin/reflect/jvm, kotlin/reflect/full, ], 8719a6ff8935b5340dcac30704283b67}
kotlin/random: {kotlin/random, 2467babc8ced894ff0cf7ca7b35c5003}
kotlin/internal: {kotlin/internal, 7d00eaea46b9eeb6109c35e4174d9c94}
androidx/cursoradapter: {androidx/cursoradapter, 3e6035f3aa49c98bdc173a86be92153f}
androidx/cardview: {androidx/cardview, 20ec2e32f73ba51d9a18c336682e2132}
com/google/zxing: {com/google/zxing, 3adc7b3dcb56208f903467cb32f64c84}
androidx/drawerlayout: {androidx/drawerlayout, 30255700177572ccf64342f616a74ba2}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, 54882c0574fbafa0b4446830ba9a1665}
androidx/exifinterface: {androidx/exifinterface, 1b1d74c858f8b99a8a461ad9c6eb68e1}
com/google/android: {com/google/android, 81dab61aa0686152decfc8a227980ecb}
com/db/williamchart: {com/db/williamchart, 24e21d2bef62b14072c1cc11c2f90d05}
kotlin/concurrent: {kotlin/concurrent, 772be91c7af37ce72e30121ae91a2db0}
kotlin/jdk7: {kotlin/jdk7, b6d7522126e7bebe2607a343d967bb6c}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 222703044779074ffabe245a8cdf6f3b}
androidx/arch/core: {androidx/arch/core, 46a94a5c7fd8016b698c55183e91fb8e}
com/beust/klaxon: {com/beust/klaxon, e06844748748e2caa9699e4e58cccac9}
kotlin/properties: {kotlin/properties, 84b3d63574650af24a5354c0f3aa2ce8}
androidx/viewpager2: {androidx/viewpager2, 6286be8664fa9025dd9b9fb87aebd1fc}
androidx/legacy/content: {androidx/legacy/content, 1b9fc79b5e2ab9f8b67bba853d17e558}
androidx/savedstate: {androidx/savedstate, f09acf048d7dfecb5f6343e7e3c0f8b8}
androidx/documentfile: {androidx/documentfile, 711183db6f7fccccd10f85fd9df5f969}
androidx/print: {androidx/print, 5f2713fc2008f1c9e0ca6c4bc81dbac3}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f06f633041ed107db9663bb84e95016f}
kotlin/ranges: {kotlin/ranges, 42cae4fc1cc577f477e012023ff4b65d}
androidx/tracing: {androidx/tracing, e5d0e05179ef73aa5986c017dde92553}
androidx/recyclerview: {androidx/recyclerview, 50132c95b1f4107cd265e67091eea545}
kotlin/comparisons: {kotlin/comparisons, f9db8b8599e967372aef9859a2fa1cf1}
com/squareup/picasso: {com/squareup/picasso, dcba1294798f1f5cce0ba63d9aac2e96}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 636a2566d3fc823e1242a66ccb34effd}
androidx/customview: {androidx/customview, 43da656d7d022a3a4f094d87116ecead}
androidx/annotation: {androidx/annotation, b470f029a9bf7713689ba7283fa8e794}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, c1ed2a8062615e47d7f272af6f1805e4}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, d3eed109e88bd353f6197a14fd1d3df3}
kotlin/jvm: {kotlin/jvm, 5948ccbfb1368376320a082386958067}
