androidx/appcompat: {androidx/appcompat, f402d3e8c8f1450067baf800da2c1a4d}
com/bluelinelabs/conductor: {com/bluelinelabs/conductor, 27237507b0f4b6f31d2cb7313c51e81d}
androidx/room: {androidx/room, 332b17c1bde8d233b527d2d217035ac4}
androidx/activity: {androidx/activity, 6b1c5e7d5ca3ff16ce5ab4938fe7ab99}
androidx/core: {androidx/core, 51fb380829a08838551e9296a73ba803}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, d29d0b5a7eabf8241dbb19d039004b9b}
androidx/sqlite/db: {androidx/sqlite/db, 810236ee00c5d2690be4d96a009152d3}
com/breadwallet: {com/breadwallet, 3281fead3e6bfb29c8caf349f6a2cd77}
androidx/lifecycle: {androidx/lifecycle, 4356d512ef2bb2d2c5ce85cbdb0fedd4}
androidx/fragment: {androidx/fragment, 943e0f508eca48e5e07ea0bbe482c8b9}
androidx/loader: {androidx/loader, e8a9565da0fa84b7b195b7c2f70ac250}
androidx/vectordrawable: {androidx/vectordrawable, 6e8344d9945a4a9eaf5817c504ed6777}
androidx/customview: {androidx/customview, 228d0f7c1957c145ac654943fd8349bd}
androidx/media: {androidx/media, 61561a54f947a1e7fb11ea883b51b03e}
androidx/legacy/view: {androidx/legacy/view, 542dd9699021b2a489ba6c7d8f6e4a23}
com/google/android: {[com/google/firebase, com/google/android, ], 9f11d436bf387567bffb040d84da659c}
androidx/interpolator: {androidx/interpolator, fc23532ce1a1f2a7532ea44f7eeb7977}
androidx/versionedparcelable: {androidx/versionedparcelable, 51811cd431d4739b60eeb823082e87fa}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 48b80d04949590c337cdafe42800b9a7}
androidx/collection: {androidx/collection, 91bd3b8a15e04c0d74c7a06c8f8abedf}
androidx/transition: {androidx/transition, 1a5a98f3dec7a670aac6d2c2c55eba14}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, b1edee0f963b248acf55c59ea3113dab}
androidx/cursoradapter: {androidx/cursoradapter, dfbe2316ca8832c181afdc24f1df6247}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 6923155f654300ef64a0b6396b9789b9}
androidx/cardview: {androidx/cardview, e4ef04b7d335bc35247ac59b2706f9c2}
androidx/legacy/v13: {androidx/legacy/v13, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/drawerlayout: {androidx/drawerlayout, 8a170acb42e7b619083720850e8f6adf}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
org/eclipse/jetty: {org/eclipse/jetty, 87a339cceea7b22f9a45bb606872379a}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, 4e10b36927e5a0d800c411fd0e3b1012}
androidx/exifinterface: {androidx/exifinterface, 5d21c95f465bfe3f4748f72075d657b3}
androidx/legacy/widget: {androidx/legacy/widget, 1b10b630de1a831927ad2fcda0ca1158}
com/fasterxml/jackson: {com/fasterxml/jackson, 50b95bedd3b3b8888c5e46d9976851de}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/work: {androidx/work, 2ad47be4279c608bc42920eb35980653}
androidx/legacy/app: {androidx/legacy/app, 846db5323e3a39ac127680e522e4a856}
androidx/arch/core: {androidx/arch/core, 2450b98946068eefb64ccb431ca9d8d6}
androidx/viewpager2: {androidx/viewpager2, 19ca582aa36d10974527d0e2d3fb7091}
androidx/legacy/content: {androidx/legacy/content, 0ee9413779ad1b96d7760df1607acbc4}
androidx/savedstate: {androidx/savedstate, 0d20415b8f4cd0ce45958b64671cc2cc}
androidx/documentfile: {androidx/documentfile, 198295bf6238cce0e7379b6a85a9cbb7}
androidx/print: {androidx/print, 70ed5cb1177f7b360a2df65ab864a586}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, ae62bc960a5ca497fd51e8cd63121b0c}
com/platform/interfaces: {[com/platform/interfaces, com/platform/entities, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 97037c5014f7c31412e0d43696d63f59}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/recyclerview: {androidx/recyclerview, f6de38490c02ed1a5d2caa65d59787ac}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, dda0421e4fbb3a6f24aaf22b811ca3ed}
androidx/gridlayout: {androidx/gridlayout, ce8ee0af48d5492cde7a5a4819a00aa9}
androidx/annotation: {androidx/annotation, 03026da0e2771c977cbee982ba378816}
