org/joda/time: {org/joda/time, 25813c5a7bf07edf5e40417b239dd6e2}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
com/nineoldandroids/view: {com/nineoldandroids/view, 7f2c8607365a9206fb72c42221adc9c9}
com/rengwuxian/materialedittext: {com/rengwuxian/materialedittext, 665d2f59ba2370a30a1c465590e3f737}
butterknife: {butterknife, 6efc1590cbe9db3e5e7c687035597fcc}
android/support/fragment: {android/support/fragment, 0db390eeeb150a4b7e83ec8056f6ee13}
android/support/annotation: {android/support/annotation, a7700a1f1325ab816fd3642a22787c6f}
com/dlazaro66/qrcodereaderview: {com/dlazaro66/qrcodereaderview, 79865caedd7a892e7e482688886d3b4e}
android/support/coreui: {android/support/coreui, 0db390eeeb150a4b7e83ec8056f6ee13}
org/cnodejs/android: {org/cnodejs/android, ec8106d6e1a31318ecc6e39024187962}
okhttp3: {okhttp3, 0d607adfa5ca4ec6288cd2486c941853}
com/pnikosis/materialishprogress: {com/pnikosis/materialishprogress, 249959894536ec30947e515c30374633}
android/support/transition: {android/support/transition, fd1b847fb58bb5e2d34b9fb1394de699}
com/google/zxing: {com/google/zxing, 580ee5bc59f56dce39210942e721b355}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, 2e85ec8e1a07189eb377d02bcfb6655a}
android/support/v7: {android/support/v7, bbcd6c4ca61be3df64923ea91a5510b9}
android/support/compat: {android/support/compat, 0db390eeeb150a4b7e83ec8056f6ee13}
net/danlew/android: {net/danlew/android, cce9fbc101d00b0f1afa4b8d1259def5}
butterknife/internal: {butterknife/internal, 7aef57caf5e1918a6020d024b02074bf}
com/nineoldandroids/animation: {[com/nineoldandroids/util, com/nineoldandroids/animation, ], 0bfb5a173abce59c317426b9fbcb18a7}
okio: {okio, f9e66d9e0c87cc782a7b1309ef4883b9}
android/support/coreutils: {android/support/coreutils, 0db390eeeb150a4b7e83ec8056f6ee13}
android/support/graphics: {android/support/graphics, 754399649dfc90a71cd6c61e54955595}
org/tautua/markdownpapers: {org/tautua/markdownpapers, b6a9ed31976ca87bc4ced9f9b8d2adf5}
retrofit2/converter/gson: {retrofit2/converter/gson, d68dbae27dbec0a9aec8d341461d51e0}
org/jsoup: {org/jsoup, 792c8945d6e9ef5f5d44c3046cbe863c}
com/bumptech/glide: {com/bumptech/glide, 0a734315f1590e0a8a7e03ff54ef7328}
android/support/design: {android/support/design, 8bd474108f684c00325cc0697b88bd26}
com/QRCodeReaderView: {com/QRCodeReaderView, 0db390eeeb150a4b7e83ec8056f6ee13}
okhttp3/internal: {okhttp3/internal, f2fa9defe2dba85c07f028bd1f2b099b}
com/umeng/analytics: {com/umeng/analytics, 7016dc76f404d67e7f8872e973cab57b}
android/support/mediacompat: {android/support/mediacompat, 0db390eeeb150a4b7e83ec8056f6ee13}
com/github/chrisbanes: {com/github/chrisbanes, ea8a030af586cf7c3648b6360a069be7}
com/google/gson: {com/google/gson, fce27f327b5adb713e0244d9a088afb3}
okhttp3/logging: {okhttp3/logging, f6ca22daa7850013a0b7b9b2dcf4f0ac}
com/takwolf/android: {com/takwolf/android, 26e2f521bc54cc2f169fcafcdf48159d}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], e8dd4c78cab6babf3641739954310272}
retrofit2: {retrofit2, cff1266b499206b3959b84226bc8f499}
