a6: {a6, 1e9565300680f6cc2ec2eab3fc7d42f1}
p2: {p2, 80327fc7e5ca4684274ab1a4fb05076f}
androidx/compose/foundation: {androidx/compose/foundation, 4ae51f654594e86a04cc2f77e04143d9}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
j: {j, 13eab449c6484c82e36a1ae257116c8a}
c1: {c1, c202aa13a38bbafb45058d819958e704}
l9: {l9, ae4d2eeda60f435fdbfefdde0b1ac2b3}
z7: {z7, c16572771323740996f8863ccecc582d}
q4: {q4, ae6b494f5b65df1ff537723fd3b223a5}
androidx/activity: {androidx/activity, 3bbcc4f7257f7fd06f98da856d123381}
x6: {x6, d0848a753a36a8d1f1d5ec966152887a}
v4: {v4, eaefadf1e7e7b76c002ae75a78396d43}
l1: {l1, 0493ea943f1c91b201ea366477cee4b8}
androidx/datastore/preferences: {androidx/datastore/preferences, 0fa49aaaa95aa38a20b1e8721019104f}
i4: {i4, dd05fa622b6fea3cd8a35ed627cafb2d}
androidx/core/widget: {androidx/core/widget, bce8b5437b915fb24caeb1720c1d4eac}
k8: {k8, 7721330296042554d2f7bde32e310d03}
g6: {g6, 40f6af76624721e28e5bb8a0200e2bb9}
o0: {o0, 545a2440234aa550ad650e49dc416cb4}
r9: {r9, c9f015eaaab1c51735e6c0751ad6cfa8}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
y0: {y0, 63a51a0b412ec04c5e331347133f5bc4}
y9: {y9, 48674f75c5a8b1c37f94d83610758cbc}
com/google/android: {com/google/android, 0f33fbeab40628d09ca1038fccb6b1f7}
o9: {o9, e725705aec7186bbd31a1f8076455148}
v2: {v2, 4f2ad7cf3f1da2828fecb5349d496026}
w8: {w8, 4ea72b13ac46cba006699aaf32123569}
z1: {z1, 29ef647c28c8125c21ef9dd5b292bd18}
m6: {m6, afb5eca7affe47513635695c92d2ae59}
t2: {t2, f63ef9e34f4b337596a49cbc20e946e2}
w0: {w0, 7df46ea9e23007bbadd48f0abf65599e}
ba: {ba, 93ff435ebf3f682f913e940375b7ea20}
e6: {e6, f12883196e2dcb936664e087a99c25fc}
x: {x, c90930b21e087ff05e639a04e33a88b1}
j5: {j5, f05a75ab923b8a208c53bf10c5c52734}
l: {l, eff04a7369cd4249c4ae011694c94668}
y: {y, 3aed4da2b3167bf2d078260d4d7a9955}
h9: {h9, f65cd464f8ae4e7f6aec1f9d74f59947}
f4: {f4, 46d0be06680936d761777c657e062f0f}
b: {b, 57efa3217489e5ae7653390b21c62056}
k1: {k1, b6adcc792406f02362d35eb38cb517aa}
d9: {d9, 44e16526faab9a387a1bbc0000fcd43c}
k: {k, 68a8a5ffd1bf30132905429fba27dcf3}
g1: {g1, daf9ee50abf26118169870e549daf73e}
c0: {c0, 546d337d1753675b546c890a65c6a455}
a5: {a5, ec809f4747a59fdf44358fbfbb1e8fd2}
p3: {p3, dfe9e42b9452e655d7de6e741de9c32a}
e5: {e5, 18634e912156102e5b54adca74009e2d}
b2: {b2, 4751de9800d744327250e4a20a9d9432}
q3: {q3, 0b61412ba72600d5da6cd87d68c86fbf}
d6: {d6, 04f88be4759c665f99b6a284ebd4f538}
l2: {l2, 2988830157da8ee15ebb146c0cb02faa}
i3: {i3, 8818b7c66ab6a2ceb36128c1b395dea5}
androidx/core/graphics: {androidx/core/graphics, 14e6047077ff42020c6588281719630a}
o3: {o3, 88635657e506458599baf2db51207f3d}
o8: {o8, d9b60710f50923ddd27ba7b908341f42}
m5: {m5, 316db42a0dee434e0a76e62a66ce6199}
t3: {t3, c78134fc3ad54a150e49416064122c5b}
j2: {j2, 0564c5eabe9c6daf8db6d95b8662a730}
v3: {v3, 0f8f7c7a078d759b24b09d6263e42100}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 45ca8ce502f9b9eba9bfa374d969a0af}
y8: {y8, 76c63688602b2601d34d39837a9ede3f}
h2: {h2, a6d3117befbc87c2bb390c06e9a16302}
n5: {n5, 3ed39109cde5a7e66b80869a0771c0a2}
u3: {u3, fa2f2ff48990599d3016a0d8787c947b}
r: {r, 3a45e34b072ced380c02e2ceb12fe46d}
z6: {z6, 49ce0b4c80def8e933e7f693540c338e}
f5: {f5, 48e4d192fb80676af4eca9c7aa0452bd}
androidx/appcompat/view: {androidx/appcompat/view, 85369d38b9642a61678fdf906f0db3d2}
w3: {w3, 897f6a1b87874e6062d945da6ebb006b}
z: {z, 150621839d8d91d24394d01dedae9901}
r6: {r6, 32a10049befe9f978bb00905164fde04}
d1: {d1, f1d1cdd1d3450a64d14e99a0974f4c44}
c: {c, 413e6824d46755cffe991211b9480de5}
g9: {g9, 483a1e74a934db9591b007d0028cd3c6}
k0: {k0, 045afecb8d4bab1216123dbbb8903614}
b9: {b9, c16af184c4f3e4bf8450b72c664ffee8}
g0: {g0, 6d291624adb9f67c9482ce3290aedd93}
v8: {v8, df1d20d8818ba3182ef4dd6d8d556008}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
x0: {x0, 9f83d426720a315a7b6c3ee84e45ccb5}
b3: {b3, 8ed489cc2bb5b5f0dee8155e17e68984}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, 93759f57523e0f8a4c562577d80ad08a}
q2: {q2, 1709f6b9ea4eaeb7d95163c4c7036fe3}
c6: {c6, 4fabda45e7890b1a3aee38165d36902e}
e4: {e4, b556a459072a7c81617250565e8f2db0}
androidx/compose/runtime: {androidx/compose/runtime, 542dd9699021b2a489ba6c7d8f6e4a23}
o2: {o2, 157c373b3dec40a3ca26fd883745a1e3}
m3: {m3, f56cc0a3babed7c6abdb96c984c9a705}
i2: {i2, 57e690d16d9ff307c7eef31f5da76a2c}
androidx/lifecycle: {androidx/lifecycle, 991a96017c6f0aa3af444e9dddf96b37}
c3: {c3, 34b8c566d1a8aaac1f1aa36c30743d28}
a4: {a4, fecb63ec263051b9d85c71cbab9ad5ed}
c9: {c9, dd11634242864b17dd77943fe1e1b229}
t: {t, 8a9ad314752749c4a76d35901ab5bc4e}
j8: {j8, 427781777128a2b03e1e02074562ecf1}
androidx/navigation/compose: {androidx/navigation/compose, a867e248187f49777c18d1e76eb63d47}
j3: {j3, 00b23c6141e48d74e664dafd49c56147}
aa: {aa, d50a67d515039c0f689e301bf71d2307}
m4: {m4, bc5fae643f4275e867c722f1cf9d9cbf}
t4: {t4, 0c2ab030758c0e35e797e7cc643a3682}
u2: {u2, 9ae11e88de3da922c536b8e4ebe28c53}
s: {s, 40617fc6a9cdbda5d6a156e7ab340951}
c8: {c8, ab9e6bef039fc74cdcf64e649cbf3efc}
h3: {h3, b2ae933e291adba527385a791302546e}
n2: {n2, b6e7def5b5c5afbc2a0bf34b6b9f2e4a}
k3: {k3, 350207b1f1efc64b1991c88688f54852}
p4: {p4, 085742ec791e13fae15bb806b8a54eb8}
r7: {r7, 889e226410df7f1598bb0325c472b086}
b5: {b5, 1ef9effbedd5d547ec9295c480c03343}
androidx/compose/material3: {androidx/compose/material3, e16ffe0a016470d352476aeb295d6fb8}
f2: {f2, 5fcbf90e288a89fde0c53da4cc994c94}
g8: {g8, 6f26ce2844894a69fedc934e73990469}
v0: {v0, 59aa03b47f48ee8e2fed157e0db33cd2}
androidx/tracing/perfetto: {androidx/tracing/perfetto, 518280295a2246deac0afc2cc83a70a9}
d2: {d2, 234b8726a7ddce91bb31d5cd4b04ceaf}
q1: {q1, 8fc75f2d066f8ed86c152e6fe67f0958}
i: {i, 9117af77cd0b72213e6fcd6538191238}
x1: {x1, f6d3ecb8acf05424a82a951065743235}
v9: {v9, a2a9c697564ff25e8a516435649949ab}
r4: {r4, 06fb702c749cea5629117a538ad5c9e6}
androidx/compose/ui: {androidx/compose/ui, 4ee21e5cec8acaf12f0f20cd0a8e1143}
y5: {y5, 12f85906639eda088e0b4f5a53fadc27}
b0: {b0, 1cbf4208cde70fb070d5e48efff2916b}
m2: {m2, 332aba54b82852a93d2480d048982437}
s4: {s4, a344c3148f2adc047188e280a68a429d}
j9: {j9, 28cced773508ad30b16db60bd45e121d}
b8: {b8, acf7ef943fdeb3cbfed8dd0d8f584731}
o5: {o5, 150f836ccaa8a43d705cc4cf7b898baa}
h5: {h5, 7fa571f41b0608cd1dcde2ec153ef7b8}
n8: {n8, d9b60710f50923ddd27ba7b908341f42}
w5: {w5, d09d27de6bf5f2f8a94a5abbed843c86}
c2: {c2, b023d765a039966cb59d191510e84ae4}
a3: {a3, 18000a63f3c212f54d6bb6eee7a512b6}
z4: {z4, 6979d3dadfea62d85b9118b626c5c9b7}
androidx/fragment/app: {androidx/fragment/app, 7a88d0c6da928aa3c2032f10cd1eb0e4}
t5: {t5, 3aadf51b915f0ad6708ea43866dca672}
j0: {j0, 744afe810b12f9385b8478a48fe8cab4}
l3: {l3, 112f74dbc1ff85d7e294f5bc187c0369}
n3: {n3, b1cbef46a68a85da39b96741480e1cc5}
u1: {u1, c46442578ddd75f799270661781e595c}
e: {e, 1b39322a88ed3809a8b9e153a6356fd7}
p5: {p5, 4953fbd796162e0c30b212e16f1a825f}
d3: {d3, 0bc4baab6d195dcb7d197413c74fd183}
l0: {l0, 3bf8921c900f340f8ea1dd0cc80260b4}
f3: {f3, a753ea3076034391f7d2f2fe3c03c11c}
u9: {u9, 64e846e864789fe43bae423f99f832a5}
k2: {k2, e07d8b396e4c05d858441105b7997bff}
m: {m, 85914c57864e014d0ada545a9e1ff1d7}
q9: {q9, 374b721dcfd19a0ea5063adcf5d02e08}
e3: {e3, 61019d3d365563a6b4f7f999183b50d8}
com/antonio/samir: {com/antonio/samir, af72ed321f51abe873d1ede6334fd2a5}
v1: {v1, 7a162def158e8edf9a0f14efec5fc5ed}
w1: {w1, bc49bbbd006817f76029fabe272887e5}
s7: {s7, ec03504227d6911473b2059c2a012925}
y4: {y4, dc241ad231629219e0d738b797c68548}
dagger/hilt/android: {dagger/hilt/android, 09ec5384adb17451cf9c22c81b42751c}
q0: {q0, c19968a549a14b4fff8bb31c1771fe02}
f0: {f0, 7fcfd403565966cfb2089b3fb70fb9da}
u8: {u8, 3543c52eb7be2d992cea98a62bd4cf95}
c5: {c5, 0e9919bb7af9bda97d0e939de1fdab3f}
w4: {w4, 7ab4566a010a1e9e401ce4f22a435d7a}
m9: {m9, 5bd30a2127f079b6f0510955cbcec516}
r5: {r5, 5e552ab00b7f2d65df336e0cab7bcba2}
f8: {f8, da0747fb23c7870dbfdb625edc7a2a2c}
z2: {z2, bf3415c11c8343c43de4167be7b04f18}
o4: {o4, 132c5b209920201c3b23cbdc857b437d}
m1: {m1, 6df8fda698e312c154f054a64b724b3f}
b4: {b4, e3412dc4c5e3e2621e47a1ddee89f16b}
x2: {x2, 3a1672f5ce522126ec2019429a38ee94}
g2: {g2, 2c3727798a3d713de08be922d876a2c9}
a2: {a2, 75f4bd296a913cd159f2b3789b146980}
h6: {h6, 73811017d532c20e3bbbe6b2d76bcef1}
n9: {n9, f1680a4d9b39daabd14f19f47e7497b2}
s9: {s9, 795edb20ca806a239b340b5d2bcfb5bf}
n0: {n0, 7cb9d2144a6d0fe35cde8f4a58a20039}
u0: {u0, 6ebb0d31c7e9b1ace38367a206bc79b1}
k5: {k5, 36a2794cfd36420ec8d5725e8ec93a12}
z5: {z5, 1160bc01fe018ae2fdd2b39b6d7de633}
androidx/profileinstaller: {androidx/profileinstaller, 3e4f88eb143147bfa5c55d9d3a82220f}
i1: {i1, 14d73cfcef28ec759cd331459e697954}
f: {f, 6a6e010ca03f97cbcba9a41ffd138b24}
v6: {v6, 4de5fe811f5eef8305785d2d6f1581c9}
x9: {x9, 294ea1c811f7f4c1b2c533be8ac21ca7}
r1: {r1, 2cc6d1b2aeca6aa217ad722ac059b39a}
l4: {l4, 0b153ed456f1a44650dfa5ef2e18f896}
i9: {i9, 97020325f6f981dc1e9c301a86633b67}
n: {n, 309b244ea86141e7869770c6db740107}
p6: {p6, 78742202d1f9da22dfb735a6753037c5}
d4: {d4, 7733aa8fc08cda66b640b3bc7e082c3e}
e2: {e2, c4e61f4313d55359f4f22d1b1de5677b}
t6: {t6, 5135b8143bfbcfbbface0ada1144faa0}
j1: {j1, 8b1b1e01e1dd18b229b2724f976eba29}
u: {u, f45400549baaa643b8675ad66a79878c}
q8: {q8, 40b355d1a8a50b1a2eb6e130b393cb2e}
w7: {w7, 4c63f81412747bef81ca1d033c568e22}
m8: {m8, 30a059febd79ab1e270d8f5540972365}
e9: {e9, e95143a29ea59608a2e3ae7aa4391313}
