androidx/appcompat: {androidx/appcompat, 8a0b1afe346483a5fadaa56cc76d85dc}
androidx/media3/datasource: {androidx/media3/datasource, 462061878d1062d1b30b0a6f816db874}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 66c5453ef61a88933f84f117e49e5490}
androidx/media3/container: {androidx/media3/container, 23939333b1d670ecbd2bfd35fe6d79a1}
androidx/room: {androidx/room, f8e8adb658cec0807086adb552c5ba49}
androidx/media3/common: {androidx/media3/common, b11f4085da9b27577ff63de9d4e483bd}
androidx/activity: {androidx/activity, da430e35e8c37ce55b510e0f4093acbf}
androidx/media3/ui: {androidx/media3/ui, f8316c1629245ab4057f7add50dc9e9c}
androidx/core: {androidx/core, 2daf6ae97cc6d76a4da6ab099c011eb8}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 44b6910ae2f3c7f31ab004f2c0d7b42c}
androidx/preference: {androidx/preference, b93847a1a9aec0f27ee9231f349eed16}
androidx/sqlite/db: {androidx/sqlite/db, e4d8614e45fc1f7b49ac274aa6cf02fd}
androidx/lifecycle: {androidx/lifecycle, 2f9cc2c6f3340edaca572ea8e36beb40}
androidx/fragment: {androidx/fragment, d36561c3cb011c4dc48d5794f7c89d6c}
androidx/media3/extractor: {androidx/media3/extractor, 9932c298e37e7a47aff519342383b627}
androidx/loader: {androidx/loader, 904cd75d460713f8eaa0c0fe8d62fabd}
androidx/vectordrawable: {androidx/vectordrawable, 6898f10119642926def2b98711de3508}
androidx/recyclerview: {androidx/recyclerview, 321a3f41df90e3ab92c52d7d3bd26f9e}
androidx/viewpager: {androidx/viewpager, 9512806ee9ea7af5edf5c9c4cf48b25d}
androidx/media3/exoplayer: {androidx/media3/exoplayer, e53b3671843add9b1ab476f2a0306bb3}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 338b9d4d9818a64a328838b96ee5c4ba}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ccc7a091f67f361d3633926701c73580}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 38519d74e9cf8cca947bfc4f03eb4c5c}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, b7709eb519ac970724449bb63c71177a}
androidx/collection: {androidx/collection, 48b4a361532f43df19736d2b6aef23c3}
androidx/security: {androidx/security, bf2242591f56a8e60bb6eaf0c93774c4}
androidx/sqlite/util: {androidx/sqlite/util, 3736d0c728a503e8db61fd321363f701}
androidx/transition: {androidx/transition, b5d2a4f162093a9ba8dc1acb5f41bd75}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 2f65a9d6f2eeba255178f1eb671d147d}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
androidx/drawerlayout: {androidx/drawerlayout, fc4452db2e2cce4c3729517914b74645}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/media3/database: {androidx/media3/database, a5ba2d1366ec9328391dadeeff5601fd}
androidx/media: {androidx/media, b48513d9cf9154652f6b208844404c4c}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/exifinterface: {androidx/exifinterface, 98bd2712f720c89e525dda0145ed11d9}
com/fasterxml/jackson: {com/fasterxml/jackson, 195e36f3ad96cd5016825a367c7c2cbc}
androidx/emoji2: {androidx/emoji2, ea5c5f291c62d7b973e281d73c00c782}
androidx/work: {androidx/work, d9c672bd7f723208ed826f8a2b500861}
androidx/browser: {androidx/browser, 081a97dc29ab4c37ba6443c0099b8e4e}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, dcbe7fe5042ea8e1254516d9ad7f2990}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
io/reactivex/rxjava3: {io/reactivex/rxjava3, b4b19b013f1de97e383588e9401bbe71}
androidx/viewpager2: {androidx/viewpager2, 37c2b462156b2f7f11e9df3d386f1344}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, 35d82a9efb159da6e30c721e0b7c878a}
androidx/documentfile: {androidx/documentfile, c1e8882d9a131f86ce61208986d323c2}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
android/support/customtabs: {android/support/customtabs, 31e3337ab6cc6bad256b0d27c429ce04}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, ad140478e9f3113a12e4f968a754b229}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/tracing: {androidx/tracing, 00ba871b13d3868284ed0b1147f7f736}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 5d8919b279d35f26737672b1ea0fbc41}
androidx/concurrent/futures: {androidx/concurrent/futures, 88c8f28176cd708319ab80270a74faf2}
androidx/customview: {androidx/customview, 4c5cde9cb36258f8d75feae6868c2ccb}
androidx/window: {androidx/window, 303f85833af232226ecea9162c193ca6}
androidx/annotation: {androidx/annotation, 61f4fd3434041025438ffb18a8f361de}
androidx/dynamicanimation: {androidx/dynamicanimation, 4b21d82fe9206d47bed66914033b22c4}
androidx/media3/decoder: {androidx/media3/decoder, 759a5464aaeb707aa4811ca50d93fe3c}
org/koin/androidx: {[org/koin/core, org/koin/androidx, ], 020eb29b524d7ba672d9d48bc72db455}
