a6: {a6, 3c12fc6b8f55fab0318e6b22ba73f244}
p2: {p2, d746eb65039fce03a87f55baee88115a}
t0: {t0, ff2a995292a1e98e57a31215ba2ee164}
j: {j, d5b937f9563231697bfed99d38630302}
c1: {c1, ba02d8c8dc983404040df10960815201}
androidx/activity: {androidx/activity, 0ff1d8aea2649b8f5ea604b326b98333}
x6: {x6, 8381c3ff550e0fc64b87e06c14890f0c}
androidx/preference: {androidx/preference, 9095d37e149522c40280bcef7a8043a8}
i4: {i4, d70784d49658d35ed29a712f0eeecf59}
androidx/core/widget: {androidx/core/widget, 54ea9e1e101519c2ed1fd9e15954ee84}
g6: {g6, acf7ef943fdeb3cbfed8dd0d8f584731}
com/github/mikephil: {com/github/mikephil, c94e2307aac87125b11116c7a5f88a34}
o0: {o0, 268132a399923561058116af16766067}
b5: {b5, 53d875d5faa0216ed22e29cced21908f}
kotlin/jvm/internal: {kotlin/jvm/internal, 542dd9699021b2a489ba6c7d8f6e4a23}
com/google/android: {com/google/android, 45480ac9c562083998ddfe8be589910c}
v2: {v2, 776d4bd36c3c8551ea569f711698ee0a}
z1: {z1, cd285ca437ac453bc0ca334228ba9699}
m6: {m6, 98bbe6aa728f9024962938470399d956}
t2: {t2, 3bca3469ae67179ed12e6f89377fbe1e}
w0: {w0, d4ce3122e2ea13b5240c491f6d52c806}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 279741ffa41fe922c051f1e0b1eb0cc5}
r1: {r1, 638bd0cd560cc667e42355f994c394fa}
e6: {e6, d52206726ec63ebc292d6eaf2d490911}
j5: {j5, 05879b8f759f743dfd12a0881cce8295}
coil/request: {coil/request, b826d429d413ad9fb64060c979f47366}
androidx/appcompat/widget: {androidx/appcompat/widget, ef5fbbf9f7795f6b3e8475673123a41d}
d0: {d0, ea8fbdd16da53b4d189eacb3af0a0928}
f4: {f4, 484e4e0f09f117386a72ead9b62e8ec4}
u4: {u4, 9f40bc79ef75a5ff0aec0c75b2ed58de}
k1: {k1, b8609d4ed1d2542c651b40a618408651}
k: {k, ded614f57d58bf6374eb23c4ead54ea5}
c0: {c0, 175f2c9b45308add8185ede10557b1a3}
a5: {a5, 484271541696dd6800015c4e781fbaee}
p3: {p3, 87933afe2e8f1d4170502f7043a5338b}
e5: {e5, a355ae06df9a61d248aed342a39d9e7f}
b2: {b2, 943898d21dad6e599e5427b9d171189f}
q3: {q3, 9b37a07c38aca649bd3e5e98eef1f52f}
d6: {d6, eaab08a27639d04078816ea41492961d}
l2: {l2, cf97bd1ebb8d3e58640431abe991c71b}
i3: {i3, 779c06ffead396045cdf548118a59c47}
androidx/core/graphics: {androidx/core/graphics, 1b2f6bbbfcc8c623ff8ba93fd76d997f}
o3: {o3, 5ff52eb98d0db0d0bda25be2956acd5f}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, afded3955cabb33b86dcc85057a5f193}
androidx/savedstate: {androidx/savedstate, 914fd933a117f979e9c990df6b25bf54}
m5: {m5, d9456eccbe958df4ef18742a74a472ee}
t3: {t3, 9c7db338bc246e1f4114022350d83b30}
j2: {j2, de608fd7789ad8ac06aecc002df5fd13}
v3: {v3, 6facd874b577c9ad361f5cc0e4ba28ef}
f7: {f7, 364b725d00cdbe0dffc12931bd4dc673}
androidx/datastore/preferences: {androidx/datastore/preferences, cb1aea3b803d34592ff03914583e45e5}
h2: {h2, ca3c5ca692b1563b660712b97ecd3180}
n5: {n5, acf7ef943fdeb3cbfed8dd0d8f584731}
u3: {u3, 21b609237770bfe7c95ee23b113da951}
kotlinx/coroutines: {kotlinx/coroutines, a147ab26e1c8a9a3ea91be22816230e4}
r: {r, e3250e6ed76549f8e68f915c3ffc1785}
z6: {z6, 3e328cf656dd0655667fe87b716c0000}
androidx/startup: {androidx/startup, 775f9a78c2ce88ce8f1a6aa47274f9f9}
androidx/appcompat/view: {androidx/appcompat/view, 1fc13e5983d2a6cc1f88190dc712a959}
androidx/navigation/fragment: {androidx/navigation/fragment, e3053b1251a95040552231823073dbd6}
w3: {w3, 83ed8ad2285691517bf3b76321fc199a}
z: {z, 3d07d74958b01b64b2ce7defdda354b1}
r6: {r6, bcc3867fd38ef3e4500964f36c3a8c66}
d1: {d1, 6a25d9552ddcfb20ae0c21b9c42522fd}
c: {c, 65c91b357afb53f9849305dbdb781438}
k0: {k0, f8880d4808ba92c0f10f1809be83fe8d}
dagger/hilt/android: {dagger/hilt/android, 89993ebb99bfe997f3f052c7557e24bd}
androidx/databinding: {androidx/databinding, 7ac22a8c7c87584a90f5b131cfd947b4}
g0: {g0, 7563526458793ad9123c85f019b13aa3}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
x0: {x0, 035ee026ec563566e78c9e32f50c1a06}
b3: {b3, b5407890d35d7d682135e2ceac472abe}
androidx/room: {androidx/room, 0dacd8d449ada4c37aa7ed553e3356ff}
w2: {w2, 1ea013c237bb22a4adf48de5f1a4d430}
q2: {q2, d3a539b4b36de69f9681057f3b9351ce}
e4: {e4, db9bac77242c5093af0d3071ae785b22}
o2: {o2, a48b9627c438553c2f159d92eb10af24}
m3: {m3, 1852b02f0e95f0866000d67db1775ea0}
i2: {i2, 608ee06ae28af1c67a7386266f9b91e3}
androidx/lifecycle: {androidx/lifecycle, 03047c974a6838f0cd506d9966c30291}
c3: {c3, 631eaf33845426250982081352e810d5}
a4: {a4, 8d01dab3f3263231ba8257ad220f0aa5}
h4: {h4, ad317d32b662e3aaedcc96d712e255eb}
t: {t, 4edf15daf5fda953584b63ab68cbe810}
g2: {g2, 71d8e132ff0b8ce3bb7d624cae4d378d}
j3: {j3, 55cb0bb3502935cf4901fbf9c783aecc}
m4: {m4, 5685dead00f3a476e44e43a73122de09}
t4: {t4, 7e4be8e9390d507972c61dc67ad24bb4}
u2: {u2, 7a570e5f59a1b7df0d9ef634f12f16f7}
s: {s, 48998585d6c6a65a838a2170ca73e843}
d: {d, ff2234da3f59fd2126f245f851924ab1}
h3: {h3, 9f6767208797132c7bdde274f5335339}
n2: {n2, a216c4dd92dd2bb4748902e3d0e5e2e5}
k3: {k3, abd6e8e4ed7249b5dd1caf8ce97db33e}
p4: {p4, f2c609d1f924a20dd21a9f882e2470a3}
l: {l, 47c530a297c8f10d82d1841a730abfee}
y0: {y0, 0249f7f3ec2b26929e46d6ff70f44cce}
f2: {f2, aec8ec5bf43fb28fa08ec74df403edcf}
v0: {v0, a864d8e6b5efbadf66789c8dc1d243db}
d2: {d2, a9dd6acb1ab346edf09cc5c30b46b8c1}
q1: {q1, d6305537d1a77f60abf061ba5148a50a}
x1: {x1, 4741c509c53cd429d8fcf1f81d5add49}
g3: {g3, 3ef30691bf3a4a3d0de5c9489044e0ae}
r4: {r4, bfdbe5f2021576848de3580bef13d6be}
b0: {b0, 4b721669ab336b75410502413bf1ce17}
y5: {y5, cb563551c7fd20fa46def5d5431de7c6}
m2: {m2, 556f301054a3ec53c6e05b8b510c9b92}
s4: {s4, c6dd078843c5d6a9d6fca2c999a86cc9}
d7: {d7, 941b22a9541c52c49f625d7f6f99ea84}
o5: {o5, 4a662e0ba7b61c0d194eb814b7bf41d4}
w5: {w5, a7e1c6f2007e2387025668882246fdfd}
c2: {c2, d0a75aeff9c26433872b8c28939c0558}
a3: {a3, 48fedfbc2ad5993e5337aceef7cfcd9e}
z4: {z4, 3f6a258fa8b23565bf4a98df47e86b89}
androidx/fragment/app: {androidx/fragment/app, ac120fd15d11d727226bf70d6152a384}
t5: {t5, fa2bce7ac4f7458560e6988b4d41899f}
j0: {j0, 63ed2a62e22ebfb4aaf5567effe1f171}
l3: {l3, 87675985a3388baf6dfd22bf19164372}
n3: {n3, 54fe66aaa85932e7660084a8ed7d2928}
u1: {u1, b9622bcc0f2a1295a1ec86b7f62eba58}
e: {e, ec9017cc42d22e704e2da9b86c6b6a80}
p5: {p5, 9ef1b95ec2fda5eca3b978712a914e47}
d3: {d3, a8947888ef1146c139ded99004894577}
