Repository URL,APK Paths,APK Count,Folder Path
https://github.com/meghalagrawal/NightSight,app/app-release.apk,1,H:\src_with_apk\meghalagrawal_NightSight
https://github.com/mikebutrimov/bip38decrypt,app/app-release.apk,1,H:\src_with_apk\mikebutrimov_bip38decrypt
https://github.com/zzolta/GlutenFreeRecipes,docs/app-release.apk,1,H:\src_with_apk\zzolta_GlutenFreeRecipes
https://github.com/armandgray/SeeMe,apk/app-release_1.4.2.apk,1,H:\src_with_apk\armandgray_SeeMe
https://github.com/gandulf/DsaTab,"Releases/DsaTab v3.2.apk, Releases/DsaTab v3.3.1.apk, Releases/DsaTab v3.3.apk, Releases/DsaTab v4.0.1.apk, Releases/DsaTab v4.0.2.apk, Releases/DsaTab v4.0.4.apk, Releases/DsaTab v4.0.5.apk, Releases/DsaTab v4.0.7.apk, Releases/DsaTab v4.0.8.apk, Releases/DsaTab v4.0.9.apk, Releases/DsaTab v4.0.apk, Releases/DsaTab v4.1.1.apk, Releases/DsaTab v4.1.2.apk, Releases/DsaTab v4.1.3b1.apk, Releases/DsaTab v4.1.3b2.apk, Releases/DsaTab v4.1.4.apk, Releases/DsaTab v4.1.5.apk, Releases/DsaTab v4.1.6.apk, Releases/DsaTab v4.1.6beta.apk, Releases/DsaTab v4.1.apk, Releases/DsaTab v4.2.1.apk, Releases/DsaTab v4.2.apk, Releases/DsaTab v4.2beta1.apk, Releases/DsaTab v4.2beta2.apk, Releases/DsaTab v4.2beta3.apk, Releases/DsaTab v4.3.0.apk, Releases/DsaTab v4.3.1.apk, Releases/DsaTab v4.3.2.apk, Releases/DsaTab v4.3.3.apk, Releases/DsaTab v4.3.4.apk, Releases/DsaTab v4.5.0.apk, Releases/DsaTab v4.5.1.apk, Releases/DsaTab v4.5.2.apk, Releases/DsaTab v4.5.3.apk, Releases/DsaTab v4.6.0.apk, Releases/DsaTab v4.6.1.apk, Releases/DsaTab v4.6.2.apk, Releases/DsaTab v4.7.1.apk",38,H:\src_with_apk\gandulf_DsaTab
https://github.com/kokororin/android-webview-demo,app/app-release.apk,1,H:\src_with_apk\kokororin_android-webview-demo
https://github.com/daj/flashback,Flashback/Flashback.apk,1,H:\src_with_apk\daj_flashback
https://github.com/hdinguyen/iBeaconDemo,"Android/Beacon-Scanner-and-Logger/AndroidStudio (v1_4 onwards)/IBeaconPoC/IBeaconPoC/IBeaconPoC-release.apk, Android/Beacon-Scanner-and-Logger/AndroidStudio (v1_4 onwards)/IBeaconPoC/IBeaconPoC/build/outputs/apk/IBeaconPoC-debug-unaligned.apk, Android/Beacon-Scanner-and-Logger/AndroidStudio (v1_4 onwards)/IBeaconPoC/IBeaconPoC/build/outputs/apk/IBeaconPoC-debug.apk, Android/Beacon-Scanner-and-Logger/AndroidStudio (v1_4 onwards)/IBeaconPoC/IBeaconPoC/build/outputs/apk/IBeaconPoC-release-unaligned.apk, Android/Beacon-Scanner-and-Logger/Eclipse (pre v1_4)/bin/IBeaconPoC.apk",5,H:\src_with_apk\hdinguyen_iBeaconDemo
https://github.com/rcgroot/open-gpstracker,"releases/opengpstracker-1.4.0.apk, releases/opengpstracker-1.4.1.apk, releases/opengpstracker-1.5.0.apk, releases/opengpstracker-1.5.1.apk",4,H:\src_with_apk\rcgroot_open-gpstracker
https://github.com/dpadilla20/tienda,"signed/mobile-release.apk, signed/wear-release.apk, signed/wear-wear1-release.apk, signed/wear-wear2-release.apk",4,H:\src_with_apk\dpadilla20_tienda
https://github.com/drewmiley/BattleshipAndroid,"app/app-release.apk, app/build/outputs/apk/app-release-unaligned.apk",2,H:\src_with_apk\drewmiley_BattleshipAndroid
https://github.com/richardchien/jigsaw-android,app/app-release.apk,1,H:\src_with_apk\richardchien_jigsaw-android
https://github.com/theksmith/CarBusInterface,"Recent Builds/car_bus_interface_v0.4-debug.apk, Recent Builds/car_bus_interface_v0.5-debug.apk, Recent Builds/car_bus_interface_v0.6-debug.apk, Recent Builds/car_bus_interface_v0.7-debug.apk, Recent Builds/car_bus_interface_v0.8-debug.apk, Recent Builds/car_bus_interface_v0.9-debug.apk, Recent Builds/car_bus_interface_v1.0-debug.apk, Recent Builds/car_bus_interface_v1.1-debug.apk",8,H:\src_with_apk\theksmith_CarBusInterface
https://github.com/TikhonOsipov/portlab,"app/Portlab 13-03-2015 old.apk, app/Portlab 13-03-2015_new_fixed_version.apk, app/Portlab v2.apk, app/Portlab v2_1 advertizing fixed.apk, app/Portlab-2-1-1_04-02-2015.apk, app/Portlab_not_signed.apk",6,H:\src_with_apk\TikhonOsipov_portlab
https://github.com/subinkrishna/open-curah,apk/app-release.apk,1,H:\src_with_apk\subinkrishna_open-curah
https://github.com/rmceoin/cidrcalculator,"releases/CIDRCalculator-1.1.apk, releases/CIDRCalculator-1.10.apk, releases/CIDRCalculator-1.11.apk, releases/CIDRCalculator-1.12.apk, releases/CIDRCalculator-1.13.apk, releases/CIDRCalculator-1.14.apk, releases/CIDRCalculator-1.16.apk, releases/CIDRCalculator-1.18.apk, releases/CIDRCalculator-1.19-alpha4.apk, releases/CIDRCalculator-1.2.apk, releases/CIDRCalculator-1.20.apk, releases/CIDRCalculator-1.3.apk, releases/CIDRCalculator-1.4.apk, releases/CIDRCalculator-1.5.apk, releases/CIDRCalculator-1.6.apk, releases/CIDRCalculator-1.7.apk, releases/CIDRCalculator-1.8.apk, releases/CIDRCalculator-1.9.apk",18,H:\src_with_apk\rmceoin_cidrcalculator
https://github.com/justfaraway42/MySchoolPocket-android,"bin/EGW.apk, out/production/EGW/EGW.apk, out/production/EGW/EGW.unaligned.apk, out/production/MySchoolPocket/MySchoolPocket.apk, out/production/MySchoolPocket/MySchoolPocket.unaligned.apk",5,H:\src_with_apk\justfaraway42_MySchoolPocket-android
https://github.com/ClayDowling/tenoncalculator,app/tenon-calculator.apk,1,H:\src_with_apk\ClayDowling_tenoncalculator
